                wave       xi      mxi                   q    q_L7_XI4_Q1_NQ11_NX25_NPHI35_NP48    g_L7_XI4_Q1_NQ11_NX25_NPHI35_NP48
          av18+empot        0        0        0.0000000000                         9.3999215970                      -495.6657998304
          av18+empot        0        0        0.1000000000                         9.4285911385                      -495.6658734188
          av18+empot        0        0        0.2000000000                         9.5129663531                      -495.6493790244
          av18+empot        0        0        0.3000000000                         9.6483279574                      -495.5680622995
          av18+empot        0        0        0.4000000000                         9.8273765566                      -495.3474300745
          av18+empot        0        0        0.5000000000                        10.0409642135                      -494.8944599904
          av18+empot        0        0        0.6000000000                        10.2789217239                      -494.1063942388
          av18+empot        0        0        0.7000000000                        10.5308560752                      -492.8793197747
          av18+empot        0        0        0.8000000000                        10.7868241395                      -491.1155377592
          av18+empot        0        0        0.9000000000                        11.0378317819                      -488.7291504075
          av18+empot        0        0        1.0000000000                        11.2761479244                      -485.6497030789
          av18+empot        1        0        0.0000000000                         0.0000000000                         0.0000000000
          av18+empot        1        0        0.1000000000                         0.0000000000                         0.0000000000
          av18+empot        1        0        0.2000000000                         0.0000000000                         0.0000000000
          av18+empot        1        0        0.3000000000                         0.0000000000                         0.0000000000
          av18+empot        1        0        0.4000000000                         0.0000000000                         0.0000000000
          av18+empot        1        0        0.5000000000                         0.0000000000                         0.0000000000
          av18+empot        1        0        0.6000000000                         0.0000000000                         0.0000000000
          av18+empot        1        0        0.7000000000                         0.0000000000                         0.0000000000
          av18+empot        1        0        0.8000000000                         0.0000000000                         0.0000000000
          av18+empot        1        0        0.9000000000                         0.0000000000                         0.0000000000
          av18+empot        1        0        1.0000000000                         0.0000000000                         0.0000000000
          av18+empot        2        0        0.0000000000                        -0.0023381191                         0.0101977642
          av18+empot        2        0        0.1000000000                         0.1212481201                        -0.8607667552
          av18+empot        2        0        0.2000000000                         0.4853826438                        -3.4077213107
          av18+empot        2        0        0.3000000000                         1.0709676297                        -7.4405474586
          av18+empot        2        0        0.4000000000                         1.8485891250                       -12.6664296779
          av18+empot        2        0        0.5000000000                         2.7816140628                       -18.7208217140
          av18+empot        2        0        0.6000000000                         3.8296503804                       -25.2022699426
          av18+empot        2        0        0.7000000000                         4.9518242231                       -31.7057040037
          av18+empot        2        0        0.8000000000                         6.1094789701                       -37.8502127499
          av18+empot        2        0        0.9000000000                         7.2680984621                       -43.2992146287
          av18+empot        2        0        1.0000000000                         8.3984354731                       -47.7726774558
          av18+empot        3        0        0.0000000000                         0.0000000000                         0.0000000000
          av18+empot        3        0        0.1000000000                         0.0000000000                         0.0000000000
          av18+empot        3        0        0.2000000000                         0.0000000000                         0.0000000000
          av18+empot        3        0        0.3000000000                         0.0000000000                         0.0000000000
          av18+empot        3        0        0.4000000000                         0.0000000000                         0.0000000000
          av18+empot        3        0        0.5000000000                         0.0000000000                         0.0000000000
          av18+empot        3        0        0.6000000000                         0.0000000000                         0.0000000000
          av18+empot        3        0        0.7000000000                         0.0000000000                         0.0000000000
          av18+empot        3        0        0.8000000000                         0.0000000000                         0.0000000000
          av18+empot        3        0        0.9000000000                         0.0000000000                         0.0000000000
          av18+empot        3        0        1.0000000000                         0.0000000000                         0.0000000000
          av18+empot        4        0        0.0000000000                         0.0000000000                         0.0000000000
          av18+empot        4        0        0.1000000000                         0.0000000000                         0.0000000000
          av18+empot        4        0        0.2000000000                         0.0000000000                         0.0000000000
          av18+empot        4        0        0.3000000000                         0.0000000000                         0.0000000000
          av18+empot        4        0        0.4000000000                         0.0000000000                         0.0000000000
          av18+empot        4        0        0.5000000000                         0.0000000000                         0.0000000000
          av18+empot        4        0        0.6000000000                         0.0000000000                         0.0000000000
          av18+empot        4        0        0.7000000000                         0.0000000000                         0.0000000000
          av18+empot        4        0        0.8000000000                         0.0000000000                         0.0000000000
          av18+empot        4        0        0.9000000000                         0.0000000000                         0.0000000000
          av18+empot        4        0        1.0000000000                         0.0000000000                         0.0000000000
           cdb+empot        0        0        0.0000000000                         6.9344632863                      -374.5075308779
           cdb+empot        0        0        0.1000000000                         6.9644822136                      -374.5852057957
           cdb+empot        0        0        0.2000000000                         7.0528959579                      -374.8011139385
           cdb+empot        0        0        0.3000000000                         7.1949566428                      -375.1058049031
           cdb+empot        0        0        0.4000000000                         7.3833181784                      -375.4228193208
           cdb+empot        0        0        0.5000000000                         7.6087692508                      -375.6564377743
           cdb+empot        0        0        0.6000000000                         7.8610625018                      -375.7005263713
           cdb+empot        0        0        0.7000000000                         8.1297142480                      -375.4471782709
           cdb+empot        0        0        0.8000000000                         8.4046806143                      -374.7941504475
           cdb+empot        0        0        0.9000000000                         8.6768590776                      -373.6505204587
           cdb+empot        0        0        1.0000000000                         8.9384048067                      -371.9403981290
           cdb+empot        1        0        0.0000000000                         0.0000000000                         0.0000000000
           cdb+empot        1        0        0.1000000000                         0.0000000000                         0.0000000000
           cdb+empot        1        0        0.2000000000                         0.0000000000                         0.0000000000
           cdb+empot        1        0        0.3000000000                         0.0000000000                         0.0000000000
           cdb+empot        1        0        0.4000000000                         0.0000000000                         0.0000000000
           cdb+empot        1        0        0.5000000000                         0.0000000000                         0.0000000000
           cdb+empot        1        0        0.6000000000                         0.0000000000                         0.0000000000
           cdb+empot        1        0        0.7000000000                         0.0000000000                         0.0000000000
           cdb+empot        1        0        0.8000000000                         0.0000000000                         0.0000000000
           cdb+empot        1        0        0.9000000000                         0.0000000000                         0.0000000000
           cdb+empot        1        0        1.0000000000                         0.0000000000                         0.0000000000
           cdb+empot        2        0        0.0000000000                        -0.0005507772                         0.0023963695
           cdb+empot        2        0        0.1000000000                         0.1279129976                        -0.9787475786
           cdb+empot        2        0        0.2000000000                         0.5065559197                        -3.8541661771
           cdb+empot        2        0        0.3000000000                         1.1159178978                        -8.4276479111
           cdb+empot        2        0        0.4000000000                         1.9260139889                       -14.3966344605
           cdb+empot        2        0        0.5000000000                         2.8994749743                       -21.3837409848
           cdb+empot        2        0        0.6000000000                         3.9950586387                       -28.9722423241
           cdb+empot        2        0        0.7000000000                         5.1709787952                       -36.7400553954
           cdb+empot        2        0        0.8000000000                         6.3876509642                       -44.2881676011
           cdb+empot        2        0        0.9000000000                         7.6096532899                       -51.2613738074
           cdb+empot        2        0        1.0000000000                         8.8068821955                       -57.3609544460
           cdb+empot        3        0        0.0000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.1000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.2000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.3000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.4000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.5000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.6000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.7000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.8000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.9000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        1.0000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.0000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.1000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.2000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.3000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.4000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.5000000000                         0.0000000000                         0.0000000000
