                wave       xi      mxi                   q    q_L7_XI4_Q1_NQ11_NX25_NPHI35_NP48    g_L7_XI4_Q1_NQ11_NX25_NPHI35_NP48
          av18+empot        0        0        0.0000000000                        -4.3189016229                       -10.4612730010
          av18+empot        0        0        0.1000000000                        -4.2833799170                       -10.8209515287
          av18+empot        0        0        0.2000000000                        -4.1783856509                       -11.8823716474
          av18+empot        0        0        0.3000000000                        -4.0084635443                       -13.5944656975
          av18+empot        0        0        0.4000000000                        -3.7806628562                       -15.8777054148
          av18+empot        0        0        0.5000000000                        -3.5038578271                       -18.6313822650
          av18+empot        0        0        0.6000000000                        -3.1879778469                       -21.7419508424
          av18+empot        0        0        0.7000000000                        -2.8432631318                       -25.0912330188
          av18+empot        0        0        0.8000000000                        -2.4796326683                       -28.5635553234
          av18+empot        0        0        0.9000000000                        -2.1062115284                       -32.0512821864
          av18+empot        0        0        1.0000000000                        -1.7310275711                       -35.4585836866
          av18+empot        1        0        0.0000000000                         0.0000000000                         0.0000000000
          av18+empot        1        0        0.1000000000                         0.0000000000                         0.0000000000
          av18+empot        1        0        0.2000000000                         0.0000000000                         0.0000000000
          av18+empot        1        0        0.3000000000                         0.0000000000                         0.0000000000
          av18+empot        1        0        0.4000000000                         0.0000000000                         0.0000000000
          av18+empot        1        0        0.5000000000                         0.0000000000                         0.0000000000
          av18+empot        1        0        0.6000000000                         0.0000000000                         0.0000000000
          av18+empot        1        0        0.7000000000                         0.0000000000                         0.0000000000
          av18+empot        1        0        0.8000000000                         0.0000000000                         0.0000000000
          av18+empot        1        0        0.9000000000                         0.0000000000                         0.0000000000
          av18+empot        1        0        1.0000000000                         0.0000000000                         0.0000000000
          av18+empot        2        0        0.0000000000                        -0.0006723145                         0.0030492317
          av18+empot        2        0        0.1000000000                         0.1272099814                        -1.0274436113
          av18+empot        2        0        0.2000000000                         0.5041142231                        -4.0501436902
          av18+empot        2        0        0.3000000000                         1.1105942770                        -8.8665505641
          av18+empot        2        0        0.4000000000                         1.9166784729                       -15.1703198876
          av18+empot        2        0        0.5000000000                         2.8849984631                       -22.5788466459
          av18+empot        2        0        0.6000000000                         3.9742893875                       -30.6688687679
          av18+empot        2        0        0.7000000000                         5.1427113798                       -39.0106325333
          av18+empot        2        0        0.8000000000                         6.3505930739                       -47.1965682989
          av18+empot        2        0        0.9000000000                         7.5623959589                       -54.8623249406
          av18+empot        2        0        1.0000000000                         8.7478781074                       -61.6997722770
          av18+empot        3        0        0.0000000000                         0.0000000000                         0.0000000000
          av18+empot        3        0        0.1000000000                         0.0000000000                         0.0000000000
          av18+empot        3        0        0.2000000000                         0.0000000000                         0.0000000000
          av18+empot        3        0        0.3000000000                         0.0000000000                         0.0000000000
          av18+empot        3        0        0.4000000000                         0.0000000000                         0.0000000000
          av18+empot        3        0        0.5000000000                         0.0000000000                         0.0000000000
          av18+empot        3        0        0.6000000000                         0.0000000000                         0.0000000000
          av18+empot        3        0        0.7000000000                         0.0000000000                         0.0000000000
          av18+empot        3        0        0.8000000000                         0.0000000000                         0.0000000000
          av18+empot        3        0        0.9000000000                         0.0000000000                         0.0000000000
          av18+empot        3        0        1.0000000000                         0.0000000000                         0.0000000000
          av18+empot        4        0        0.0000000000                         0.0000000000                         0.0000000000
          av18+empot        4        0        0.1000000000                         0.0000000000                         0.0000000000
          av18+empot        4        0        0.2000000000                         0.0000000000                         0.0000000000
          av18+empot        4        0        0.3000000000                         0.0000000000                         0.0000000000
          av18+empot        4        0        0.4000000000                         0.0000000000                         0.0000000000
          av18+empot        4        0        0.5000000000                         0.0000000000                         0.0000000000
          av18+empot        4        0        0.6000000000                         0.0000000000                         0.0000000000
          av18+empot        4        0        0.7000000000                         0.0000000000                         0.0000000000
          av18+empot        4        0        0.8000000000                         0.0000000000                         0.0000000000
          av18+empot        4        0        0.9000000000                         0.0000000000                         0.0000000000
          av18+empot        4        0        1.0000000000                         0.0000000000                         0.0000000000
           cdb+empot        0        0        0.0000000000                        -5.3419749357                        23.5919916479
           cdb+empot        0        0        0.1000000000                        -5.3047999214                        23.1843816101
           cdb+empot        0        0        0.2000000000                        -5.1948812523                        21.9798230944
           cdb+empot        0        0        0.3000000000                        -5.0168674770                        20.0313156328
           cdb+empot        0        0        0.4000000000                        -4.7779722323                        17.4214908080
           cdb+empot        0        0        0.5000000000                        -4.4872831419                        14.2551743618
           cdb+empot        0        0        0.6000000000                        -4.1549783527                        10.6508520941
           cdb+empot        0        0        0.7000000000                        -3.7915682470                         6.7322631218
           cdb+empot        0        0        0.8000000000                        -3.4072505520                         2.6210664460
           cdb+empot        0        0        0.9000000000                        -3.0114269258                        -1.5688685885
           cdb+empot        0        0        1.0000000000                        -2.6123914747                        -5.7353792382
           cdb+empot        1        0        0.0000000000                         0.0000000000                         0.0000000000
           cdb+empot        1        0        0.1000000000                         0.0000000000                         0.0000000000
           cdb+empot        1        0        0.2000000000                         0.0000000000                         0.0000000000
           cdb+empot        1        0        0.3000000000                         0.0000000000                         0.0000000000
           cdb+empot        1        0        0.4000000000                         0.0000000000                         0.0000000000
           cdb+empot        1        0        0.5000000000                         0.0000000000                         0.0000000000
           cdb+empot        1        0        0.6000000000                         0.0000000000                         0.0000000000
           cdb+empot        1        0        0.7000000000                         0.0000000000                         0.0000000000
           cdb+empot        1        0        0.8000000000                         0.0000000000                         0.0000000000
           cdb+empot        1        0        0.9000000000                         0.0000000000                         0.0000000000
           cdb+empot        1        0        1.0000000000                         0.0000000000                         0.0000000000
           cdb+empot        2        0        0.0000000000                        -0.0002038033                         0.0009357529
           cdb+empot        2        0        0.1000000000                         0.1322295318                        -1.1081355244
           cdb+empot        2        0        0.2000000000                         0.5226607661                        -4.3646748169
           cdb+empot        2        0        0.3000000000                         1.1512764914                        -9.5646262280
           cdb+empot        2        0        0.4000000000                         1.9875279542                       -16.3928073785
           cdb+empot        2        0        0.5000000000                         2.9933061505                       -24.4550543745
           cdb+empot        2        0        0.6000000000                         4.1264958380                       -33.3144911494
           cdb+empot        2        0        0.7000000000                         5.3443510566                       -42.5263809614
           cdb+empot        2        0        0.8000000000                         6.6062867518                       -51.6674388404
           cdb+empot        2        0        0.9000000000                         7.8758815407                       -60.3574071522
           cdb+empot        2        0        1.0000000000                         9.1220687046                       -68.2724825032
           cdb+empot        3        0        0.0000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.1000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.2000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.3000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.4000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.5000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.6000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.7000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.8000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.9000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        1.0000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.0000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.1000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.2000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.3000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.4000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.5000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.6000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.7000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.8000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.9000000000                         0.0000000000                         0.0000000000
