                wave       xi      mxi                   q    twopion_L6_XI0_Q1_NQ1_NX20_NPHI30                              Old_PWD
          av18+empot        0        0        0.0000000000                        -0.0143095191                        -0.0139892650
           cdb+empot        0        0        0.0000000000                        -0.0106494791                        -0.0103968315
  ich-lo-cut=1+empot        0        0        0.0000000000                        -0.0020866937                        -0.0019770853
  ich-lo-cut=2+empot        0        0        0.0000000000                         0.0005463589                         0.0006106594
  ich-lo-cut=3+empot        0        0        0.0000000000                         0.0024320143                         0.0024647448
  ich-lo-cut=4+empot        0        0        0.0000000000                         0.0037566439                         0.0037678733
  ich-lo-cut=5+empot        0        0        0.0000000000                         0.0046720339                         0.0046689163
ich-n2lo-cut=1+empot        0        0        0.0000000000                        -0.0100706793                        -0.0098329290
ich-n2lo-cut=2+empot        0        0        0.0000000000                        -0.0078179553                        -0.0076212018
ich-n2lo-cut=3+empot        0        0        0.0000000000                        -0.0056126722                        -0.0054553826
ich-n2lo-cut=4+empot        0        0        0.0000000000                        -0.0036098308                        -0.0034876519
ich-n2lo-cut=5+empot        0        0        0.0000000000                        -0.0018503560                        -0.0017582838
ich-n3lo-cut=1+empot        0        0        0.0000000000                        -0.0066240594                        -0.0064482110
ich-n3lo-cut=2+empot        0        0        0.0000000000                        -0.0098889291                        -0.0096614195
ich-n3lo-cut=3+empot        0        0        0.0000000000                        -0.0117888817                        -0.0115324097
ich-n3lo-cut=4+empot        0        0        0.0000000000                        -0.0124998787                        -0.0122352741
ich-n3lo-cut=5+empot        0        0        0.0000000000                        -0.0125556816                        -0.0122944296
ich-n4lo-cut=1+empot        0        0        0.0000000000                        -0.0096711570                        -0.0094436042
ich-n4lo-cut=2+empot        0        0        0.0000000000                        -0.0102708389                        -0.0100354267
ich-n4lo-cut=3+empot        0        0        0.0000000000                        -0.0107691118                        -0.0105283249
ich-n4lo-cut=4+empot        0        0        0.0000000000                        -0.0113670438                        -0.0111200063
ich-n4lo-cut=5+empot        0        0        0.0000000000                        -0.0115982858                        -0.0113518903
 ich-nlo-cut=1+empot        0        0        0.0000000000                        -0.0106860513                        -0.0104365204
 ich-nlo-cut=2+empot        0        0        0.0000000000                        -0.0080135850                        -0.0078125096
 ich-nlo-cut=3+empot        0        0        0.0000000000                        -0.0055366427                        -0.0053797405
 ich-nlo-cut=4+empot        0        0        0.0000000000                        -0.0033599454                        -0.0032410140
 ich-nlo-cut=5+empot        0        0        0.0000000000                        -0.0014985237                        -0.0014112516
      nijm93-noempot        0        0        0.0000000000                        -0.0143095191                        -0.0139892650
