                wave       xi      mxi                   q                 mat
          av18+empot        0        0        0.0000000000        1.9999999632
          av18+empot        0        0        0.1000000000        1.9871413481
          av18+empot        0        0        0.2000000000        1.9498299372
          av18+empot        0        0        0.3000000000        1.8909388350
          av18+empot        0        0        0.4000000000        1.8146634016
          av18+empot        0        0        0.5000000000        1.7257017818
          av18+empot        0        0        0.6000000000        1.6285922280
          av18+empot        0        0        0.7000000000        1.5272693872
          av18+empot        0        0        0.8000000000        1.4249186559
          av18+empot        0        0        0.9000000000        1.3239261901
          av18+empot        0        0        1.0000000000        1.2259602840
          av18+empot        1        0        0.0000000000       -0.0000000000
          av18+empot        1        0        0.1000000000       -0.0000000000
          av18+empot        1        0        0.2000000000       -0.0000000000
          av18+empot        1        0        0.3000000000       -0.0000000000
          av18+empot        1        0        0.4000000000       -0.0000000000
          av18+empot        1        0        0.5000000000       -0.0000000000
          av18+empot        1        0        0.6000000000       -0.0000000000
          av18+empot        1        0        0.7000000000       -0.0000000000
          av18+empot        1        0        0.8000000000       -0.0000000000
          av18+empot        1        0        0.9000000000       -0.0000000000
          av18+empot        1        0        1.0000000000       -0.0000000000
          av18+empot        2        0        0.0000000000        0.0000000000
          av18+empot        2        0        0.1000000000       -0.0028204864
          av18+empot        2        0        0.2000000000       -0.0111112602
          av18+empot        2        0        0.3000000000       -0.0242552611
          av18+empot        2        0        0.4000000000       -0.0413692724
          av18+empot        2        0        0.5000000000       -0.0614401049
          av18+empot        2        0        0.6000000000       -0.0834480893
          av18+empot        2        0        0.7000000000       -0.1064584544
          av18+empot        2        0        0.8000000000       -0.1296742354
          av18+empot        2        0        0.9000000000       -0.1524526150
          av18+empot        2        0        1.0000000000       -0.1742977091
          av18+empot        3        0        0.0000000000        0.0000000000
          av18+empot        3        0        0.1000000000        0.0000000000
          av18+empot        3        0        0.2000000000        0.0000000000
          av18+empot        3        0        0.3000000000        0.0000000000
          av18+empot        3        0        0.4000000000        0.0000000000
          av18+empot        3        0        0.5000000000        0.0000000000
          av18+empot        3        0        0.6000000000        0.0000000000
          av18+empot        3        0        0.7000000000        0.0000000000
          av18+empot        3        0        0.8000000000        0.0000000000
          av18+empot        3        0        0.9000000000        0.0000000000
          av18+empot        3        0        1.0000000000        0.0000000000
          av18+empot        4        0        0.0000000000        0.0000000000
          av18+empot        4        0        0.1000000000        0.0000000000
          av18+empot        4        0        0.2000000000        0.0000000000
          av18+empot        4        0        0.3000000000        0.0000000000
          av18+empot        4        0        0.4000000000        0.0000000000
          av18+empot        4        0        0.5000000000        0.0000000000
          av18+empot        4        0        0.6000000000        0.0000000000
          av18+empot        4        0        0.7000000000        0.0000000000
          av18+empot        4        0        0.8000000000        0.0000000000
          av18+empot        4        0        0.9000000000        0.0000000000
          av18+empot        4        0        1.0000000000        0.0000000000
           cdb+empot        0        0        0.0000000000        2.0000000468
           cdb+empot        0        0        0.1000000000        1.9871390699
           cdb+empot        0        0        0.2000000000        1.9498257485
           cdb+empot        0        0        0.3000000000        1.8909363537
           cdb+empot        0        0        0.4000000000        1.8146698565
           cdb+empot        0        0        0.5000000000        1.7257271411
           cdb+empot        0        0        0.6000000000        1.6286504247
           cdb+empot        0        0        0.7000000000        1.5273764727
           cdb+empot        0        0        0.8000000000        1.4250942867
           cdb+empot        0        0        0.9000000000        1.3241910967
           cdb+empot        0        0        1.0000000000        1.2263362376
           cdb+empot        1        0        0.0000000000       -0.0000000000
           cdb+empot        1        0        0.1000000000       -0.0000000000
           cdb+empot        1        0        0.2000000000       -0.0000000000
           cdb+empot        1        0        0.3000000000       -0.0000000000
           cdb+empot        1        0        0.4000000000       -0.0000000000
           cdb+empot        1        0        0.5000000000       -0.0000000000
           cdb+empot        1        0        0.6000000000       -0.0000000000
           cdb+empot        1        0        0.7000000000       -0.0000000000
           cdb+empot        1        0        0.8000000000       -0.0000000000
           cdb+empot        1        0        0.9000000000       -0.0000000000
           cdb+empot        1        0        1.0000000000       -0.0000000000
           cdb+empot        2        0        0.0000000000        0.0000000000
           cdb+empot        2        0        0.1000000000       -0.0028174996
           cdb+empot        2        0        0.2000000000       -0.0110954546
           cdb+empot        2        0        0.3000000000       -0.0242092793
           cdb+empot        2        0        0.4000000000       -0.0412663956
           cdb+empot        2        0        0.5000000000       -0.0612433395
           cdb+empot        2        0        0.6000000000       -0.0831106637
           cdb+empot        2        0        0.7000000000       -0.1059250712
           cdb+empot        2        0        0.8000000000       -0.1288845261
           cdb+empot        2        0        0.9000000000       -0.1513426234
           cdb+empot        2        0        1.0000000000       -0.1728024587
           cdb+empot        3        0        0.0000000000        0.0000000000
           cdb+empot        3        0        0.1000000000        0.0000000000
           cdb+empot        3        0        0.2000000000        0.0000000000
           cdb+empot        3        0        0.3000000000        0.0000000000
           cdb+empot        3        0        0.4000000000        0.0000000000
           cdb+empot        3        0        0.5000000000        0.0000000000
           cdb+empot        3        0        0.6000000000        0.0000000000
           cdb+empot        3        0        0.7000000000        0.0000000000
           cdb+empot        3        0        0.8000000000        0.0000000000
           cdb+empot        3        0        0.9000000000        0.0000000000
           cdb+empot        3        0        1.0000000000        0.0000000000
           cdb+empot        4        0        0.0000000000        0.0000000000
           cdb+empot        4        0        0.1000000000        0.0000000000
           cdb+empot        4        0        0.2000000000        0.0000000000
           cdb+empot        4        0        0.3000000000        0.0000000000
           cdb+empot        4        0        0.4000000000        0.0000000000
           cdb+empot        4        0        0.5000000000        0.0000000000
           cdb+empot        4        0        0.6000000000        0.0000000000
           cdb+empot        4        0        0.7000000000        0.0000000000
           cdb+empot        4        0        0.8000000000        0.0000000000
           cdb+empot        4        0        0.9000000000        0.0000000000
           cdb+empot        4        0        1.0000000000        0.0000000000
  ich-lo-cut=1+empot        0        0        0.0000000000        2.0001276239
  ich-lo-cut=1+empot        0        0        0.1000000000        1.9868600038
  ich-lo-cut=1+empot        0        0        0.2000000000        1.9485049046
  ich-lo-cut=1+empot        0        0        0.3000000000        1.8883192199
  ich-lo-cut=1+empot        0        0        0.4000000000        1.8109690471
  ich-lo-cut=1+empot        0        0        0.5000000000        1.7215542781
  ich-lo-cut=1+empot        0        0        0.6000000000        1.6248640518
  ich-lo-cut=1+empot        0        0        0.7000000000        1.5249139098
  ich-lo-cut=1+empot        0        0        0.8000000000        1.4248382238
  ich-lo-cut=1+empot        0        0        0.9000000000        1.3268847470
  ich-lo-cut=1+empot        0        0        1.0000000000        1.2325491169
  ich-lo-cut=1+empot        1        0        0.0000000000       -0.0000000000
  ich-lo-cut=1+empot        1        0        0.1000000000       -0.0000000000
  ich-lo-cut=1+empot        1        0        0.2000000000       -0.0000000000
  ich-lo-cut=1+empot        1        0        0.3000000000       -0.0000000000
  ich-lo-cut=1+empot        1        0        0.4000000000       -0.0000000000
  ich-lo-cut=1+empot        1        0        0.5000000000       -0.0000000000
  ich-lo-cut=1+empot        1        0        0.6000000000       -0.0000000000
  ich-lo-cut=1+empot        1        0        0.7000000000       -0.0000000000
  ich-lo-cut=1+empot        1        0        0.8000000000       -0.0000000000
  ich-lo-cut=1+empot        1        0        0.9000000000       -0.0000000000
  ich-lo-cut=1+empot        1        0        1.0000000000       -0.0000000000
  ich-lo-cut=1+empot        2        0        0.0000000000        0.0000000000
  ich-lo-cut=1+empot        2        0        0.1000000000       -0.0025501440
  ich-lo-cut=1+empot        2        0        0.2000000000       -0.0100221199
  ich-lo-cut=1+empot        2        0        0.3000000000       -0.0218015404
  ich-lo-cut=1+empot        2        0        0.4000000000       -0.0370245716
  ich-lo-cut=1+empot        2        0        0.5000000000       -0.0547166644
  ich-lo-cut=1+empot        2        0        0.6000000000       -0.0739195090
  ich-lo-cut=1+empot        2        0        0.7000000000       -0.0937770874
  ich-lo-cut=1+empot        2        0        0.8000000000       -0.1135798306
  ich-lo-cut=1+empot        2        0        0.9000000000       -0.1327712473
  ich-lo-cut=1+empot        2        0        1.0000000000       -0.1509371827
  ich-lo-cut=1+empot        3        0        0.0000000000        0.0000000000
  ich-lo-cut=1+empot        3        0        0.1000000000        0.0000000000
  ich-lo-cut=1+empot        3        0        0.2000000000        0.0000000000
  ich-lo-cut=1+empot        3        0        0.3000000000        0.0000000000
  ich-lo-cut=1+empot        3        0        0.4000000000        0.0000000000
  ich-lo-cut=1+empot        3        0        0.5000000000        0.0000000000
  ich-lo-cut=1+empot        3        0        0.6000000000        0.0000000000
  ich-lo-cut=1+empot        3        0        0.7000000000        0.0000000000
  ich-lo-cut=1+empot        3        0        0.8000000000        0.0000000000
  ich-lo-cut=1+empot        3        0        0.9000000000        0.0000000000
  ich-lo-cut=1+empot        3        0        1.0000000000        0.0000000000
  ich-lo-cut=1+empot        4        0        0.0000000000        0.0000000000
  ich-lo-cut=1+empot        4        0        0.1000000000        0.0000000000
  ich-lo-cut=1+empot        4        0        0.2000000000        0.0000000000
  ich-lo-cut=1+empot        4        0        0.3000000000        0.0000000000
  ich-lo-cut=1+empot        4        0        0.4000000000        0.0000000000
  ich-lo-cut=1+empot        4        0        0.5000000000        0.0000000000
  ich-lo-cut=1+empot        4        0        0.6000000000        0.0000000000
  ich-lo-cut=1+empot        4        0        0.7000000000        0.0000000000
  ich-lo-cut=1+empot        4        0        0.8000000000        0.0000000000
  ich-lo-cut=1+empot        4        0        0.9000000000        0.0000000000
  ich-lo-cut=1+empot        4        0        1.0000000000        0.0000000000
  ich-lo-cut=2+empot        0        0        0.0000000000        2.0001375899
  ich-lo-cut=2+empot        0        0        0.1000000000        1.9869641742
  ich-lo-cut=2+empot        0        0        0.2000000000        1.9488646027
  ich-lo-cut=2+empot        0        0        0.3000000000        1.8890288490
  ich-lo-cut=2+empot        0        0        0.4000000000        1.8120407604
  ich-lo-cut=2+empot        0        0        0.5000000000        1.7229296263
  ich-lo-cut=2+empot        0        0        0.6000000000        1.6264393927
  ich-lo-cut=2+empot        0        0        0.7000000000        1.5265679433
  ich-lo-cut=2+empot        0        0        0.8000000000        1.4264534738
  ich-lo-cut=2+empot        0        0        0.9000000000        1.3283609573
  ich-lo-cut=2+empot        0        0        1.0000000000        1.2338083654
  ich-lo-cut=2+empot        1        0        0.0000000000       -0.0000000000
  ich-lo-cut=2+empot        1        0        0.1000000000       -0.0000000000
  ich-lo-cut=2+empot        1        0        0.2000000000       -0.0000000000
  ich-lo-cut=2+empot        1        0        0.3000000000       -0.0000000000
  ich-lo-cut=2+empot        1        0        0.4000000000       -0.0000000000
  ich-lo-cut=2+empot        1        0        0.5000000000       -0.0000000000
  ich-lo-cut=2+empot        1        0        0.6000000000       -0.0000000000
  ich-lo-cut=2+empot        1        0        0.7000000000       -0.0000000000
  ich-lo-cut=2+empot        1        0        0.8000000000       -0.0000000000
  ich-lo-cut=2+empot        1        0        0.9000000000       -0.0000000000
  ich-lo-cut=2+empot        1        0        1.0000000000       -0.0000000000
  ich-lo-cut=2+empot        2        0        0.0000000000        0.0000000000
  ich-lo-cut=2+empot        2        0        0.1000000000       -0.0023980102
  ich-lo-cut=2+empot        2        0        0.2000000000       -0.0094226140
  ich-lo-cut=2+empot        2        0        0.3000000000       -0.0204941117
  ich-lo-cut=2+empot        2        0        0.4000000000       -0.0347965919
  ich-lo-cut=2+empot        2        0        0.5000000000       -0.0514073119
  ich-lo-cut=2+empot        2        0        0.6000000000       -0.0694163796
  ich-lo-cut=2+empot        2        0        0.7000000000       -0.0880089476
  ich-lo-cut=2+empot        2        0        0.8000000000       -0.1065082720
  ich-lo-cut=2+empot        2        0        0.9000000000       -0.1243830473
  ich-lo-cut=2+empot        2        0        1.0000000000       -0.1412379854
  ich-lo-cut=2+empot        3        0        0.0000000000        0.0000000000
  ich-lo-cut=2+empot        3        0        0.1000000000        0.0000000000
  ich-lo-cut=2+empot        3        0        0.2000000000        0.0000000000
  ich-lo-cut=2+empot        3        0        0.3000000000        0.0000000000
  ich-lo-cut=2+empot        3        0        0.4000000000        0.0000000000
  ich-lo-cut=2+empot        3        0        0.5000000000        0.0000000000
  ich-lo-cut=2+empot        3        0        0.6000000000        0.0000000000
  ich-lo-cut=2+empot        3        0        0.7000000000        0.0000000000
  ich-lo-cut=2+empot        3        0        0.8000000000        0.0000000000
  ich-lo-cut=2+empot        3        0        0.9000000000        0.0000000000
  ich-lo-cut=2+empot        3        0        1.0000000000        0.0000000000
  ich-lo-cut=2+empot        4        0        0.0000000000        0.0000000000
  ich-lo-cut=2+empot        4        0        0.1000000000        0.0000000000
  ich-lo-cut=2+empot        4        0        0.2000000000        0.0000000000
  ich-lo-cut=2+empot        4        0        0.3000000000        0.0000000000
  ich-lo-cut=2+empot        4        0        0.4000000000        0.0000000000
  ich-lo-cut=2+empot        4        0        0.5000000000        0.0000000000
  ich-lo-cut=2+empot        4        0        0.6000000000        0.0000000000
  ich-lo-cut=2+empot        4        0        0.7000000000        0.0000000000
  ich-lo-cut=2+empot        4        0        0.8000000000        0.0000000000
  ich-lo-cut=2+empot        4        0        0.9000000000        0.0000000000
  ich-lo-cut=2+empot        4        0        1.0000000000        0.0000000000
  ich-lo-cut=3+empot        0        0        0.0000000000        2.0001501806
