                wave       xi      mxi                   q                 mat
          av18+empot        0        0        0.0000000000        0.0000000000
          av18+empot        0        0        0.1000000000        0.0198714135
          av18+empot        0        0        0.2000000000        0.0779931975
          av18+empot        0        0        0.3000000000        0.1701844951
          av18+empot        0        0        0.4000000000        0.2903461443
          av18+empot        0        0        0.5000000000        0.4314254455
          av18+empot        0        0        0.6000000000        0.5862932021
          av18+empot        0        0        0.7000000000        0.7483619997
          av18+empot        0        0        0.8000000000        0.9119479398
          av18+empot        0        0        0.9000000000        1.0723802140
          av18+empot        0        0        1.0000000000        1.2259602840
          av18+empot        1        0        0.0000000000        0.0000000000
          av18+empot        1        0        0.1000000000       -0.0000000000
          av18+empot        1        0        0.2000000000       -0.0000000000
          av18+empot        1        0        0.3000000000       -0.0000000000
          av18+empot        1        0        0.4000000000       -0.0000000000
          av18+empot        1        0        0.5000000000       -0.0000000000
          av18+empot        1        0        0.6000000000       -0.0000000000
          av18+empot        1        0        0.7000000000       -0.0000000000
          av18+empot        1        0        0.8000000000       -0.0000000000
          av18+empot        1        0        0.9000000000       -0.0000000000
          av18+empot        1        0        1.0000000000       -0.0000000000
          av18+empot        2        0        0.0000000000        0.0000000000
          av18+empot        2        0        0.1000000000       -0.0000282049
          av18+empot        2        0        0.2000000000       -0.0004444504
          av18+empot        2        0        0.3000000000       -0.0021829735
          av18+empot        2        0        0.4000000000       -0.0066190836
          av18+empot        2        0        0.5000000000       -0.0153600262
          av18+empot        2        0        0.6000000000       -0.0300413122
          av18+empot        2        0        0.7000000000       -0.0521646427
          av18+empot        2        0        0.8000000000       -0.0829915107
          av18+empot        2        0        0.9000000000       -0.1234866181
          av18+empot        2        0        1.0000000000       -0.1742977091
          av18+empot        3        0        0.0000000000        0.0000000000
          av18+empot        3        0        0.1000000000        0.0000000000
          av18+empot        3        0        0.2000000000        0.0000000000
          av18+empot        3        0        0.3000000000        0.0000000000
          av18+empot        3        0        0.4000000000        0.0000000000
          av18+empot        3        0        0.5000000000        0.0000000000
          av18+empot        3        0        0.6000000000        0.0000000000
          av18+empot        3        0        0.7000000000        0.0000000000
          av18+empot        3        0        0.8000000000        0.0000000000
          av18+empot        3        0        0.9000000000        0.0000000000
          av18+empot        3        0        1.0000000000        0.0000000000
          av18+empot        4        0        0.0000000000        0.0000000000
          av18+empot        4        0        0.1000000000        0.0000000000
          av18+empot        4        0        0.2000000000        0.0000000000
          av18+empot        4        0        0.3000000000        0.0000000000
          av18+empot        4        0        0.4000000000        0.0000000000
          av18+empot        4        0        0.5000000000        0.0000000000
          av18+empot        4        0        0.6000000000        0.0000000000
          av18+empot        4        0        0.7000000000        0.0000000000
          av18+empot        4        0        0.8000000000        0.0000000000
          av18+empot        4        0        0.9000000000        0.0000000000
          av18+empot        4        0        1.0000000000        0.0000000000
           cdb+empot        0        0        0.0000000000        0.0000000000
           cdb+empot        0        0        0.1000000000        0.0198713907
           cdb+empot        0        0        0.2000000000        0.0779930299
           cdb+empot        0        0        0.3000000000        0.1701842718
           cdb+empot        0        0        0.4000000000        0.2903471770
           cdb+empot        0        0        0.5000000000        0.4314317853
           cdb+empot        0        0        0.6000000000        0.5863141529
           cdb+empot        0        0        0.7000000000        0.7484144716
           cdb+empot        0        0        0.8000000000        0.9120603435
           cdb+empot        0        0        0.9000000000        1.0725947883
           cdb+empot        0        0        1.0000000000        1.2263362376
           cdb+empot        1        0        0.0000000000        0.0000000000
           cdb+empot        1        0        0.1000000000       -0.0000000000
           cdb+empot        1        0        0.2000000000       -0.0000000000
           cdb+empot        1        0        0.3000000000       -0.0000000000
           cdb+empot        1        0        0.4000000000       -0.0000000000
           cdb+empot        1        0        0.5000000000       -0.0000000000
           cdb+empot        1        0        0.6000000000       -0.0000000000
           cdb+empot        1        0        0.7000000000       -0.0000000000
           cdb+empot        1        0        0.8000000000       -0.0000000000
           cdb+empot        1        0        0.9000000000       -0.0000000000
           cdb+empot        1        0        1.0000000000       -0.0000000000
           cdb+empot        2        0        0.0000000000        0.0000000000
           cdb+empot        2        0        0.1000000000       -0.0000281750
           cdb+empot        2        0        0.2000000000       -0.0004438182
           cdb+empot        2        0        0.3000000000       -0.0021788351
           cdb+empot        2        0        0.4000000000       -0.0066026233
           cdb+empot        2        0        0.5000000000       -0.0153108349
           cdb+empot        2        0        0.6000000000       -0.0299198389
           cdb+empot        2        0        0.7000000000       -0.0519032849
           cdb+empot        2        0        0.8000000000       -0.0824860967
           cdb+empot        2        0        0.9000000000       -0.1225875250
           cdb+empot        2        0        1.0000000000       -0.1728024587
           cdb+empot        3        0        0.0000000000        0.0000000000
           cdb+empot        3        0        0.1000000000        0.0000000000
           cdb+empot        3        0        0.2000000000        0.0000000000
           cdb+empot        3        0        0.3000000000        0.0000000000
           cdb+empot        3        0        0.4000000000        0.0000000000
           cdb+empot        3        0        0.5000000000        0.0000000000
           cdb+empot        3        0        0.6000000000        0.0000000000
           cdb+empot        3        0        0.7000000000        0.0000000000
           cdb+empot        3        0        0.8000000000        0.0000000000
           cdb+empot        3        0        0.9000000000        0.0000000000
           cdb+empot        3        0        1.0000000000        0.0000000000
           cdb+empot        4        0        0.0000000000        0.0000000000
           cdb+empot        4        0        0.1000000000        0.0000000000
           cdb+empot        4        0        0.2000000000        0.0000000000
           cdb+empot        4        0        0.3000000000        0.0000000000
           cdb+empot        4        0        0.4000000000        0.0000000000
           cdb+empot        4        0        0.5000000000        0.0000000000
           cdb+empot        4        0        0.6000000000        0.0000000000
           cdb+empot        4        0        0.7000000000        0.0000000000
           cdb+empot        4        0        0.8000000000        0.0000000000
           cdb+empot        4        0        0.9000000000        0.0000000000
           cdb+empot        4        0        1.0000000000        0.0000000000
  ich-lo-cut=1+empot        0        0        0.0000000000        0.0000000000
  ich-lo-cut=1+empot        0        0        0.1000000000        0.0198686000
  ich-lo-cut=1+empot        0        0        0.2000000000        0.0779401962
  ich-lo-cut=1+empot        0        0        0.3000000000        0.1699487298
  ich-lo-cut=1+empot        0        0        0.4000000000        0.2897550475
  ich-lo-cut=1+empot        0        0        0.5000000000        0.4303885695
  ich-lo-cut=1+empot        0        0        0.6000000000        0.5849510586
  ich-lo-cut=1+empot        0        0        0.7000000000        0.7472078158
  ich-lo-cut=1+empot        0        0        0.8000000000        0.9118964632
  ich-lo-cut=1+empot        0        0        0.9000000000        1.0747766451
  ich-lo-cut=1+empot        0        0        1.0000000000        1.2325491169
  ich-lo-cut=1+empot        1        0        0.0000000000        0.0000000000
  ich-lo-cut=1+empot        1        0        0.1000000000       -0.0000000000
  ich-lo-cut=1+empot        1        0        0.2000000000       -0.0000000000
  ich-lo-cut=1+empot        1        0        0.3000000000       -0.0000000000
  ich-lo-cut=1+empot        1        0        0.4000000000       -0.0000000000
  ich-lo-cut=1+empot        1        0        0.5000000000       -0.0000000000
  ich-lo-cut=1+empot        1        0        0.6000000000       -0.0000000000
  ich-lo-cut=1+empot        1        0        0.7000000000       -0.0000000000
  ich-lo-cut=1+empot        1        0        0.8000000000       -0.0000000000
