                wave       xi      mxi                   q    g_L7_XI4_Q1_NQ51_NX5_NPHI10_NP52    g_L7_XI4_Q1_NQ51_NX5_NPHI15_NP52    g_L7_XI4_Q1_NQ51_NX5_NPHI20_NP52    q_L7_XI4_Q1_NQ51_NX5_NPHI10_NP52    q_L7_XI4_Q1_NQ51_NX5_NPHI15_NP52    q_L7_XI4_Q1_NQ51_NX5_NPHI20_NP52
          av18+empot        0        0        0.0000000000                     -527.4761870153                     -527.5708331754                     -527.6084583053                        9.3190600667                        9.3212640680                        9.3265102841
          av18+empot        0        0        0.0200000000                     -527.4767899400                     -527.5713558618                     -527.6089524986                        9.3202689232                        9.3224565303                        9.3276974563
          av18+empot        0        0        0.0400000000                     -527.4785695290                     -527.5728952796                     -527.6104066059                        9.3238925647                        9.3260310750                        9.3312561575
          av18+empot        0        0        0.0600000000                     -527.4814383736                     -527.5753656462                     -527.6127353489                        9.3299222214                        9.3319791896                        9.3371779562
          av18+empot        0        0        0.0800000000                     -527.4852512815                     -527.5786244599                     -527.6157970611                        9.3383433268                        9.3402867333                        9.3454488450
          av18+empot        0        0        0.1000000000                     -527.4898060040                     -527.5824732000                     -527.6193943783                        9.3491355905                        9.3509340064                        9.3560493098
          av18+empot        0        0        0.1200000000                     -527.4948442453                     -527.5866582973                     -527.6232751976                        9.3622731005                        9.3638958467                        9.3689544236
          av18+empot        0        0        0.1400000000                     -527.5000529444                     -527.5908723671                     -527.6271338954                        9.3777244522                        9.3791417521                        9.3841339673
          av18+empot        0        0        0.1600000000                     -527.5050658161                     -527.5947556935                     -527.6306127933                        9.3954529036                        9.3966360271                        9.4015525739
          av18+empot        0        0        0.1800000000                     -527.5094651401                     -527.5978979510                     -527.6333038595                        9.4154165557                        9.4163379543                        9.4211698959
          av18+empot        0        0        0.2000000000                     -527.5127837782                     -527.5998401498                     -527.6347506312                        9.4375685550                        9.4382019860                        9.4429407947
          av18+empot        0        0        0.2200000000                     -527.5145074061                     -527.6000767868                     -527.6344503410                        9.4618573177                        9.4621779572                        9.4668155494
          av18+empot        0        0        0.2400000000                     -527.5140769366                     -527.5980581844                     -527.6318562294                        9.4882267725                        9.4882113162                        9.4927400837
          av18+empot        0        0        0.2600000000                     -527.5108911159                     -527.5931929983                     -527.6263800250                        9.5166166204                        9.5162433718                        9.5206562088
          av18+empot        0        0        0.2800000000                     -527.5043092713                     -527.5848508732                     -527.6173945725                        9.5469626094                        9.5462115543                        9.5505018807
          av18+empot        0        0        0.3000000000                     -527.4936541865                     -527.5723652261                     -527.6042365868                        9.5791968206                        9.5780496888                        9.5822114685
          av18+empot        0        0        0.3200000000                     -527.4782150846                     -527.5550361346                     -527.5862095135                        9.6132479653                        9.6116882780                        9.6157160335
          av18+empot        0        0        0.3400000000                     -527.4572506929                     -527.5321333111                     -527.5625864740                        9.6490416884                        9.6470547927                        9.6509436153
          av18+empot        0        0        0.3600000000                     -527.4299923707                     -527.5028991386                     -527.5326132747                        9.6865008786                        9.6840739679                        9.6878195235
          av18+empot        0        0        0.3800000000                     -527.3956472746                     -527.4665517493                     -527.4955114583                        9.7255459797                        9.7226681018                        9.7262666328
          av18+empot        0        0        0.4000000000                     -527.3534015426                     -527.4222881249                     -527.4504813789                        9.7660953042                        9.7627573563                        9.7662056794
          av18+empot        0        0        0.4200000000                     -527.3024234749                     -527.3692871983                     -527.3967052806                        9.8080653448                        9.8042600565                        9.8075555574
          av18+empot        0        0        0.4400000000                     -527.2418666928                     -527.3067129391                     -527.3333503600                        9.8513710826                        9.8470929880                        9.8502336116
          av18+empot        0        0        0.4600000000                     -527.1708732571                     -527.2337174044                     -527.2595717975                        9.8959262905                        9.8911716892                        9.8941559273
          av18+empot        0        0        0.4800000000                     -527.0885767300                     -527.1494437389                     -527.1745157390                        9.9416438292                        9.9364107382                        9.9392376140
          av18+empot        0        0        0.5000000000                     -526.9941051630                     -527.0530291093                     -527.0773222146                        9.9884359356                        9.9827240318                        9.9853930818
          av18+empot        0        0        0.5200000000                     -526.8865839993                     -526.9436075588                     -526.9671279787                       10.0362145008                       10.0300250561                       10.0325363096
          av18+empot        0        0        0.5400000000                     -526.7651388772                     -526.8203127699                     -526.8430692621                       10.0848913378                       10.0782271467                       10.0805811029
          av18+empot        0        0        0.5600000000                     -526.6288983231                     -526.6822807251                     -526.7042844220                       10.1343784363                       10.1272437381                       10.1294413422
          av18+empot        0        0        0.5800000000                     -526.4769963258                     -526.5286522546                     -526.5499164836                       10.1845882062                       10.1769886016                       10.1790312190
          av18+empot        0        0        0.6000000000                     -526.3085747842                     -526.3585754650                     -526.3791155631                       10.2354337059                       10.2273760705                       10.2292654595
          av18+empot        0        0        0.6200000000                     -526.1227858217                     -526.1712080415                     -526.1910411666                       10.2868288580                       10.2783212518                       10.2800595360
          av18+empot        0        0        0.6400000000                     -525.9187939631                     -525.9657194184                     -525.9848643593                       10.3386886499                       10.3297402248                       10.3313298649
          av18+empot        0        0        0.6600000000                     -525.6957781701                     -525.7412928147                     -525.7597698017                       10.3909293200                       10.3815502261                       10.3829939912
          av18+empot        0        0        0.6800000000                     -525.4529337334                     -525.4971271315                     -525.5149576492                       10.4434685287                       10.4336698203                       10.4349707590
          av18+empot        0        0        0.7000000000                     -525.1894740209                     -525.2324387112                     -525.2496453139                       10.4962255156                       10.4860190569                       10.4871804687
          av18+empot        0        0        0.7200000000                     -524.9046320815                     -524.9464629556                     -524.9630690888                       10.5491212413                       10.5385196130                       10.5395450206
          av18+empot        0        0        0.7400000000                     -524.5976621056                     -524.6384558069                     -524.6544856339                       10.6020785152                       10.5910949232                       10.5919880442
          av18+empot        0        0        0.7600000000                     -524.2678407456                     -524.3076950900                     -524.3231733258                       10.6550221090                       10.6436702946                       10.6444350148
          av18+empot        0        0        0.7800000000                     -523.9144682971                     -523.9534817206                     -523.9684334736                       10.7078788567                       10.6961730098                       10.6968133575
          av18+empot        0        0        0.8000000000                     -523.5368697464                     -523.5751407811                     -523.5895914030                       10.7605777419                       10.7485324168                       10.7490525373
          av18+empot        0        0        0.8200000000                     -523.1343956870                     -523.1720224679                     -523.1859974132                       10.8130499711                       10.8006800063                       10.8010841381
          av18+empot        0        0        0.8400000000                     -522.7064231108                     -522.7435029152                     -522.7570276096                       10.8652290366                       10.8525494776                       10.8528419295
          av18+empot        0        0        0.8600000000                     -522.2523560776                     -522.2889848980                     -522.3020846172                       10.9170507661                       10.9040767930                       10.9042619228
          av18+empot        0        0        0.8800000000                     -521.7716262701                     -521.8078984219                     -521.8205981794                       10.9684533628                       10.9552002213                       10.9552824155
          av18+empot        0        0        0.9000000000                     -521.2636934380                     -521.2997012022                     -521.3120256478                       11.0193774347                       11.0058603720                       11.0058440266
          av18+empot        0        0        0.9200000000                     -520.7280457388                     -520.7638790397                     -520.7758523675                       11.0697660139                       11.0560002187                       11.0558897218
          av18+empot        0        0        0.9400000000                     -520.1641999800                     -520.1999460974                     -520.2115919639                       11.1195645672                       11.1055651144                       11.1053648303
          av18+empot        0        0        0.9600000000                     -519.5717017691                     -519.6074450851                     -519.6187865363                       11.1687209990                       11.1545027985                       11.1542170524
          av18+empot        0        0        0.9800000000                     -518.9501255768                     -518.9859473566                     -518.9970067645                       11.2171856453                       11.2027633957                       11.2023964603
          av18+empot        0        0        1.0000000000                     -518.2990747208                     -518.3350529247                     -518.3458519331                       11.2649112615                       11.2502994080                       11.2498554915
          av18+empot        1        0        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.0200000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.0400000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.0600000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.0800000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.1000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.1200000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.1400000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.1600000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.1800000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.2000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.2200000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.2400000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.2600000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.2800000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.3000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.3200000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.3400000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.3600000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.3800000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.4000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.4200000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.4400000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.4600000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.4800000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.5000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.5200000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.5400000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.5600000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.5800000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.6000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.6200000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.6400000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.6600000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.6800000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.7000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.7200000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.7400000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.7600000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.7800000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.8000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.8200000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.8400000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.8600000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.8800000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.9000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.9200000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.9400000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.9600000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        0.9800000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        1        0        1.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000                        0.0000000000
          av18+empot        2        0        0.0000000000                       -0.9648885060                       -2.8694139714                       -3.3834742268                        0.1576838631                        0.3240674549                        0.3960442646
          av18+empot        2        0        0.0200000000                       -1.0004222709                       -2.9044579558                       -3.4182853766                        0.1627496094                        0.3290716426                        0.4010176168
          av18+empot        2        0        0.0400000000                       -1.1069119502                       -3.0094802157                       -3.5226100280                        0.1779354119                        0.3440730165                        0.4159265982
          av18+empot        2        0        0.0600000000                       -1.2840232652                       -3.1841522228                       -3.6961223319                        0.2032070201                        0.3690380670                        0.4407380381
          av18+empot        2        0        0.0800000000                       -1.5312009709                       -3.4279282619                       -3.9382810143                        0.2385075458                        0.4039111331                        0.4753968385
          av18+empot        2        0        0.1000000000                       -1.8476716665                       -3.7400481606                       -4.2483320708                        0.2837577546                        0.4486146840                        0.5198262501
          av18+empot        2        0        0.1200000000                       -2.2324476921                       -4.1195410754                       -4.6253125037                        0.3388564702                        0.5030497091                        0.5739282563
          av18+empot        2        0        0.1400000000                       -2.6843320753                       -4.5652302975                       -5.0680550665                        0.4036810874                        0.5670962127                        0.6375840608
          av18+empot        2        0        0.1600000000                       -3.2019244809                       -5.0757390359                       -5.5751939729                        0.4780881888                        0.6406138089                        0.7106546725
          av18+empot        2        0        0.1800000000                       -3.7836281081                       -5.6494971230                       -6.1451715181                        0.5619142590                        0.7234424116                        0.7929815853
          av18+empot        2        0        0.2000000000                       -4.4276574732                       -6.2847485834                       -6.7762455531                        0.6549764898                        0.8154030116                        0.8843875433
          av18+empot        2        0        0.2200000000                       -5.1320470063                       -6.9795599984                       -7.4664977459                        0.7570736692                        0.9162985357                        0.9846773870
          av18+empot        2        0        0.2400000000                       -5.8946603865                       -7.7318295922                       -8.2138425575                        0.8679871456                        1.0259147784                        1.0936389708
          av18+empot        2        0        0.2600000000                       -6.7132005346                       -8.5392969639                       -9.0160368578                        0.9874818581                        1.1440213991                        1.2110441460
          av18+empot        2        0        0.2800000000                       -7.5852201789                       -9.3995533826                       -9.8706900989                        1.1153074250                        1.2703729750                        1.3366497984
          av18+empot        2        0        0.3000000000                       -8.5081329064                      -10.3100525615                      -10.7752749662                        1.2511992810                        1.4047101023                        1.4701989338
          av18+empot        2        0        0.3200000000                       -9.4792246110                      -11.2681218271                      -11.7271384209                        1.3948798523                        1.5467605357                        1.6114218017
          av18+empot        2        0        0.3400000000                      -10.4956652497                      -12.2709735961                      -12.7235130514                        1.5460597622                        1.6962403572                        1.7600370483
          av18+empot        2        0        0.3600000000                      -11.5545208198                      -13.3157170762                      -13.7615286481                        1.7044390566                        1.8528551661                        1.9157528909
          av18+empot        2        0        0.3800000000                      -12.6527654684                      -14.3993701064                      -14.8382239206                        1.8697084406                        2.0163012804                        2.0782683033
          av18+empot        2        0        0.4000000000                      -13.7872936532                      -15.5188710563                      -15.9505582772                        2.0415505177                        2.1862669423                        2.2472742068
          av18+empot        2        0        0.4200000000                      -14.9549322729                      -16.6710907058                      -17.0954235884                        2.2196410228                        2.3624335185                        2.4224546552
          av18+empot        2        0        0.4400000000                      -16.1524526916                      -17.8528440326                      -18.2696558641                        2.4036500416                        2.5444766886                        2.6034880102
          av18+empot        2        0        0.4600000000                      -17.3765825867                      -19.0609018370                      -19.4700467732                        2.5932432087                        2.7320676144                        2.7900480966
          av18+empot        2        0        0.4800000000                      -18.6240175539                      -20.2920021401                      -20.6933549439                        2.7880828777                        2.9248740833                        2.9818053336
          av18+empot        2        0        0.5000000000                      -19.8914324096                      -21.5428612966                      -21.9363169857                        2.9878292576                        3.1225616194                        3.1784278347
          av18+empot        2        0        0.5200000000                      -21.1754921375                      -22.8101847694                      -23.1956581797                        3.1921415089                        3.3247945576                        3.3795824710
          av18+empot        2        0        0.5400000000                      -22.4728624299                      -24.0906775177                      -24.4681027918                        3.4006787964                        3.5312370768                        3.5849358946
          av18+empot        2        0        0.5600000000                      -23.7802197845                      -25.3810539588                      -25.7503839661                        3.6131012931                        3.7415541852                        3.7941555158
          av18+empot        2        0        0.5800000000                      -25.0942611190                      -26.6780474666                      -27.0392531641                        3.8290711323                        3.9554126583                        4.0069104330
          av18+empot        2        0        0.6000000000                      -26.4117128766                      -27.9784193788                      -28.3314891204                        4.0482533052                        4.1724819231                        4.2228723109
          av18+empot        2        0        0.6200000000                      -27.7293395975                      -29.2789674889                      -29.6239062904                        4.2703165022                        4.3924348894                        4.4417162056
          av18+empot        2        0        0.6400000000                      -29.0439519403                      -30.5765340042                      -30.9133627725                        4.4949338952                        4.6149487237                        4.6631213342
          av18+empot        2        0        0.6600000000                      -30.3524141399                      -31.8680129577                      -32.1967676915                        4.7217838618                        4.8397055672                        4.8867717896
