                wave       xi      mxi                   q                 mat
          av18+empot        0        0        0.0000000000        0.0000000000
          av18+empot        0        0        0.0200000000        0.0003998599
          av18+empot        0        0        0.0400000000        0.0015981960
          av18+empot        0        0        0.0600000000        0.0035912614
          av18+empot        0        0        0.0800000000        0.0063728433
          av18+empot        0        0        0.1000000000        0.0099343809
          av18+empot        0        0        0.1200000000        0.0142651001
          av18+empot        0        0        0.1400000000        0.0193520864
          av18+empot        0        0        0.1600000000        0.0251803237
          av18+empot        0        0        0.1800000000        0.0317327267
          av18+empot        0        0        0.2000000000        0.0389902761
          av18+empot        0        0        0.2200000000        0.0469321330
          av18+empot        0        0        0.2400000000        0.0555360961
          av18+empot        0        0        0.2600000000        0.0647783521
          av18+empot        0        0        0.2800000000        0.0746341586
          av18+empot        0        0        0.3000000000        0.0850777872
          av18+empot        0        0        0.3200000000        0.0960821519
          av18+empot        0        0        0.3400000000        0.1076193941
          av18+empot        0        0        0.3600000000        0.1196619085
          av18+empot        0        0        0.3800000000        0.1321807361
          av18+empot        0        0        0.4000000000        0.1451482956
          av18+empot        0        0        0.4200000000        0.1585338724
          av18+empot        0        0        0.4400000000        0.1723072693
          av18+empot        0        0        0.4600000000        0.1864404339
          av18+empot        0        0        0.4800000000        0.2009042051
          av18+empot        0        0        0.5000000000        0.2156703761
          av18+empot        0        0        0.5200000000        0.2307117802
          av18+empot        0        0        0.5400000000        0.2460012789
          av18+empot        0        0        0.5600000000        0.2615101926
          av18+empot        0        0        0.5800000000        0.2772116133
          av18+empot        0        0        0.6000000000        0.2930815746
          av18+empot        0        0        0.6200000000        0.3090934601
          av18+empot        0        0        0.6400000000        0.3252230658
          av18+empot        0        0        0.6600000000        0.3414494938
          av18+empot        0        0        0.6800000000        0.3577511618
          av18+empot        0        0        0.7000000000        0.3741037207
          av18+empot        0        0        0.7200000000        0.3904815989
          av18+empot        0        0        0.7400000000        0.4068653247
          av18+empot        0        0        0.7600000000        0.4232396124
          av18+empot        0        0        0.7800000000        0.4395879613
          av18+empot        0        0        0.8000000000        0.4558841843
          av18+empot        0        0        0.8200000000        0.4721058915
          av18+empot        0        0        0.8400000000        0.4882440013
          av18+empot        0        0        0.8600000000        0.5042923421
          av18+empot        0        0        0.8800000000        0.5202398525
          av18+empot        0        0        0.9000000000        0.5360646363
          av18+empot        0        0        0.9200000000        0.5517476612
          av18+empot        0        0        0.9400000000        0.5672756134
          av18+empot        0        0        0.9600000000        0.5826334570
          av18+empot        0        0        0.9800000000        0.5978142162
          av18+empot        0        0        1.0000000000        0.6128114739
          av18+empot        1        0        0.0000000000        0.0000000000
          av18+empot        1        0        0.0200000000       -0.0000000000
          av18+empot        1        0        0.0400000000       -0.0000000000
          av18+empot        1        0        0.0600000000       -0.0000000000
          av18+empot        1        0        0.0800000000       -0.0000000000
          av18+empot        1        0        0.1000000000       -0.0000000000
          av18+empot        1        0        0.1200000000       -0.0000000000
          av18+empot        1        0        0.1400000000       -0.0000000000
          av18+empot        1        0        0.1600000000       -0.0000000000
          av18+empot        1        0        0.1800000000       -0.0000000000
          av18+empot        1        0        0.2000000000       -0.0000000000
          av18+empot        1        0        0.2200000000       -0.0000000000
          av18+empot        1        0        0.2400000000       -0.0000000000
          av18+empot        1        0        0.2600000000       -0.0000000000
          av18+empot        1        0        0.2800000000       -0.0000000000
          av18+empot        1        0        0.3000000000       -0.0000000000
          av18+empot        1        0        0.3200000000       -0.0000000000
          av18+empot        1        0        0.3400000000       -0.0000000000
          av18+empot        1        0        0.3600000000       -0.0000000000
          av18+empot        1        0        0.3800000000       -0.0000000000
          av18+empot        1        0        0.4000000000       -0.0000000000
          av18+empot        1        0        0.4200000000       -0.0000000000
          av18+empot        1        0        0.4400000000       -0.0000000000
          av18+empot        1        0        0.4600000000       -0.0000000000
          av18+empot        1        0        0.4800000000       -0.0000000000
          av18+empot        1        0        0.5000000000       -0.0000000000
          av18+empot        1        0        0.5200000000       -0.0000000000
          av18+empot        1        0        0.5400000000       -0.0000000000
          av18+empot        1        0        0.5600000000       -0.0000000000
          av18+empot        1        0        0.5800000000       -0.0000000000
          av18+empot        1        0        0.6000000000       -0.0000000000
          av18+empot        1        0        0.6200000000       -0.0000000000
          av18+empot        1        0        0.6400000000       -0.0000000000
          av18+empot        1        0        0.6600000000       -0.0000000000
          av18+empot        1        0        0.6800000000       -0.0000000000
          av18+empot        1        0        0.7000000000       -0.0000000000
          av18+empot        1        0        0.7200000000       -0.0000000000
          av18+empot        1        0        0.7400000000       -0.0000000000
          av18+empot        1        0        0.7600000000       -0.0000000000
          av18+empot        1        0        0.7800000000       -0.0000000000
          av18+empot        1        0        0.8000000000       -0.0000000000
          av18+empot        1        0        0.8200000000       -0.0000000000
          av18+empot        1        0        0.8400000000       -0.0000000000
          av18+empot        1        0        0.8600000000       -0.0000000000
          av18+empot        1        0        0.8800000000       -0.0000000000
          av18+empot        1        0        0.9000000000       -0.0000000000
          av18+empot        1        0        0.9200000000       -0.0000000000
          av18+empot        1        0        0.9400000000       -0.0000000000
          av18+empot        1        0        0.9600000000       -0.0000000000
          av18+empot        1        0        0.9800000000       -0.0000000000
          av18+empot        1        0        1.0000000000       -0.0000000000
          av18+empot        2        0        0.0000000000        0.0000000000
          av18+empot        2        0        0.0200000000       -0.0000000224
          av18+empot        2        0        0.0400000000       -0.0000003588
          av18+empot        2        0        0.0600000000       -0.0000018184
          av18+empot        2        0        0.0800000000       -0.0000057475
          av18+empot        2        0        0.1000000000       -0.0000140215
          av18+empot        2        0        0.1200000000       -0.0000290374
          av18+empot        2        0        0.1400000000       -0.0000537017
          av18+empot        2        0        0.1600000000       -0.0000914054
          av18+empot        2        0        0.1800000000       -0.0001459881
          av18+empot        2        0        0.2000000000       -0.0002216987
          av18+empot        2        0        0.2200000000       -0.0003231626
          av18+empot        2        0        0.2400000000       -0.0004553567
          av18+empot        2        0        0.2600000000       -0.0006235992
          av18+empot        2        0        0.2800000000       -0.0008334904
          av18+empot        2        0        0.3000000000       -0.0010908752
          av18+empot        2        0        0.3200000000       -0.0014018594
          av18+empot        2        0        0.3400000000       -0.0017726695
          av18+empot        2        0        0.3600000000       -0.0022097829
          av18+empot        2        0        0.3800000000       -0.0027196879
          av18+empot        2        0        0.4000000000       -0.0033090642
          av18+empot        2        0        0.4200000000       -0.0039844578
          av18+empot        2        0        0.4400000000       -0.0047526006
          av18+empot        2        0        0.4600000000       -0.0056200215
