                wave       xi      mxi                   q                 mat
          av18+empot        0        0        0.0000000000       -0.9999065943
          av18+empot        0        0        0.0200000000       -0.9996497772
          av18+empot        0        0        0.0400000000       -0.9988727106
          av18+empot        0        0        0.0600000000       -0.9975724741
          av18+empot        0        0        0.0800000000       -0.9957546790
          av18+empot        0        0        0.1000000000       -0.9934324050
          av18+empot        0        0        0.1200000000       -0.9906248694
          av18+empot        0        0        0.1400000000       -0.9873447905
          av18+empot        0        0        0.1600000000       -0.9835958779
          av18+empot        0        0        0.1800000000       -0.9793802526
          av18+empot        0        0        0.2000000000       -0.9747050767
          av18+empot        0        0        0.2200000000       -0.9695871676
          av18+empot        0        0        0.2400000000       -0.9640546500
          av18+empot        0        0        0.2600000000       -0.9581226811
          av18+empot        0        0        0.2800000000       -0.9518113325
          av18+empot        0        0        0.3000000000       -0.9451397570
          av18+empot        0        0        0.3200000000       -0.9381331116
          av18+empot        0        0        0.3400000000       -0.9307949005
          av18+empot        0        0        0.3600000000       -0.9231464853
          av18+empot        0        0        0.3800000000       -0.9151932763
          av18+empot        0        0        0.4000000000       -0.9069733395
          av18+empot        0        0        0.4200000000       -0.8984994834
          av18+empot        0        0        0.4400000000       -0.8897982057
          av18+empot        0        0        0.4600000000       -0.8808827765
          av18+empot        0        0        0.4800000000       -0.8717645091
          av18+empot        0        0        0.5000000000       -0.8624566243
          av18+empot        0        0        0.5200000000       -0.8529854273
          av18+empot        0        0        0.5400000000       -0.8433627045
          av18+empot        0        0        0.5600000000       -0.8336027788
          av18+empot        0        0        0.5800000000       -0.8237195467
          av18+empot        0        0        0.6000000000       -0.8137263063
          av18+empot        0        0        0.6200000000       -0.8036368185
          av18+empot        0        0        0.6400000000       -0.7934622065
          av18+empot        0        0        0.6600000000       -0.7832214551
          av18+empot        0        0        0.6800000000       -0.7729307338
          av18+empot        0        0        0.7000000000       -0.7626023600
          av18+empot        0        0        0.7200000000       -0.7522450359
          av18+empot        0        0        0.7400000000       -0.7418710032
          av18+empot        0        0        0.7600000000       -0.7314781392
          av18+empot        0        0        0.7800000000       -0.7210907315
          av18+empot        0        0        0.8000000000       -0.7107112593
          av18+empot        0        0        0.8200000000       -0.7003307460
          av18+empot        0        0        0.8400000000       -0.6899891065
          av18+empot        0        0        0.8600000000       -0.6797126568
          av18+empot        0        0        0.8800000000       -0.6694856088
          av18+empot        0        0        0.9000000000       -0.6593056538
          av18+empot        0        0        0.9200000000       -0.6491738359
          av18+empot        0        0        0.9400000000       -0.6390817516
          av18+empot        0        0        0.9600000000       -0.6290340735
          av18+empot        0        0        0.9800000000       -0.6190556753
          av18+empot        0        0        1.0000000000       -0.6091597234
          av18+empot        1        0        0.0000000000        0.0000000000
          av18+empot        1        0        0.0200000000        0.0000000000
          av18+empot        1        0        0.0400000000        0.0000000000
          av18+empot        1        0        0.0600000000        0.0000000000
          av18+empot        1        0        0.0800000000        0.0000000000
          av18+empot        1        0        0.1000000000        0.0000000000
          av18+empot        1        0        0.1200000000        0.0000000000
          av18+empot        1        0        0.1400000000        0.0000000000
          av18+empot        1        0        0.1600000000        0.0000000000
          av18+empot        1        0        0.1800000000        0.0000000000
          av18+empot        1        0        0.2000000000        0.0000000000
          av18+empot        1        0        0.2200000000        0.0000000000
          av18+empot        1        0        0.2400000000        0.0000000000
          av18+empot        1        0        0.2600000000        0.0000000000
          av18+empot        1        0        0.2800000000        0.0000000000
          av18+empot        1        0        0.3000000000        0.0000000000
          av18+empot        1        0        0.3200000000        0.0000000000
          av18+empot        1        0        0.3400000000        0.0000000000
          av18+empot        1        0        0.3600000000        0.0000000000
          av18+empot        1        0        0.3800000000        0.0000000000
          av18+empot        1        0        0.4000000000        0.0000000000
          av18+empot        1        0        0.4200000000        0.0000000000
          av18+empot        1        0        0.4400000000        0.0000000000
          av18+empot        1        0        0.4600000000        0.0000000000
          av18+empot        1        0        0.4800000000        0.0000000000
          av18+empot        1        0        0.5000000000        0.0000000000
          av18+empot        1        0        0.5200000000        0.0000000000
          av18+empot        1        0        0.5400000000        0.0000000000
          av18+empot        1        0        0.5600000000        0.0000000000
          av18+empot        1        0        0.5800000000        0.0000000000
          av18+empot        1        0        0.6000000000        0.0000000000
          av18+empot        1        0        0.6200000000        0.0000000000
          av18+empot        1        0        0.6400000000        0.0000000000
          av18+empot        1        0        0.6600000000        0.0000000000
