                wave       xi      mxi                   q                 mat
          av18+empot        0        0        0.0000000000        0.9999793953
          av18+empot        0        0        0.0200000000        0.9997218762
          av18+empot        0        0        0.0400000000        0.9989455655
          av18+empot        0        0        0.0600000000        0.9976515781
          av18+empot        0        0        0.0800000000        0.9958493303
          av18+empot        0        0        0.1000000000        0.9935516673
          av18+empot        0        0        0.1200000000        0.9907628775
          av18+empot        0        0        0.1400000000        0.9874838714
          av18+empot        0        0        0.1600000000        0.9837234840
          av18+empot        0        0        0.1800000000        0.9795002111
          av18+empot        0        0        0.2000000000        0.9748331458
          av18+empot        0        0        0.2200000000        0.9697388562
          av18+empot        0        0        0.2400000000        0.9642356960
          av18+empot        0        0        0.2600000000        0.9583344958
          av18+empot        0        0        0.2800000000        0.9520541720
          av18+empot        0        0        0.3000000000        0.9454098046
          av18+empot        0        0        0.3200000000        0.9384134433
          av18+empot        0        0        0.3400000000        0.9310848716
          av18+empot        0        0        0.3600000000        0.9234447070
          av18+empot        0        0        0.3800000000        0.9155101599
          av18+empot        0        0        0.4000000000        0.9072948343
          av18+empot        0        0        0.4200000000        0.8988219131
          av18+empot        0        0        0.4400000000        0.8901156092
          av18+empot        0        0        0.4600000000        0.8811911345
          av18+empot        0        0        0.4800000000        0.8720598315
          av18+empot        0        0        0.5000000000        0.8627390976
          av18+empot        0        0        0.5200000000        0.8532517715
          av18+empot        0        0        0.5400000000        0.8436102681
          av18+empot        0        0        0.5600000000        0.8338287235
          av18+empot        0        0        0.5800000000        0.8239311909
          av18+empot        0        0        0.6000000000        0.8139246891
          av18+empot        0        0        0.6200000000        0.8038183605
          av18+empot        0        0        0.6400000000        0.7936407753
          av18+empot        0        0        0.6600000000        0.7834021554
          av18+empot        0        0        0.6800000000        0.7731052700
          av18+empot        0        0        0.7000000000        0.7627695651
          av18+empot        0        0        0.7200000000        0.7524043934
          av18+empot        0        0        0.7400000000        0.7420246366
          av18+empot        0        0        0.7600000000        0.7316368547
          av18+empot        0        0        0.7800000000        0.7212488855
          av18+empot        0        0        0.8000000000        0.7108696218
          av18+empot        0        0        0.8200000000        0.7005053224
          av18+empot        0        0        0.8400000000        0.6901624847
          av18+empot        0        0        0.8600000000        0.6798623606
          av18+empot        0        0        0.8800000000        0.6696149190
          av18+empot        0        0        0.9000000000        0.6594200202
          av18+empot        0        0        0.9200000000        0.6492759295
          av18+empot        0        0        0.9400000000        0.6391836360
          av18+empot        0        0        0.9600000000        0.6291519393
          av18+empot        0        0        0.9800000000        0.6191935462
          av18+empot        0        0        1.0000000000        0.6093235844
          av18+empot        1        0        0.0000000000       -0.0000000000
          av18+empot        1        0        0.0200000000       -0.0000000000
          av18+empot        1        0        0.0400000000       -0.0000000000
          av18+empot        1        0        0.0600000000       -0.0000000000
          av18+empot        1        0        0.0800000000       -0.0000000000
          av18+empot        1        0        0.1000000000       -0.0000000000
          av18+empot        1        0        0.1200000000       -0.0000000000
          av18+empot        1        0        0.1400000000       -0.0000000000
          av18+empot        1        0        0.1600000000       -0.0000000000
          av18+empot        1        0        0.1800000000       -0.0000000000
          av18+empot        1        0        0.2000000000       -0.0000000000
          av18+empot        1        0        0.2200000000       -0.0000000000
          av18+empot        1        0        0.2400000000       -0.0000000000
          av18+empot        1        0        0.2600000000       -0.0000000000
          av18+empot        1        0        0.2800000000       -0.0000000000
          av18+empot        1        0        0.3000000000       -0.0000000000
          av18+empot        1        0        0.3200000000       -0.0000000000
          av18+empot        1        0        0.3400000000       -0.0000000000
          av18+empot        1        0        0.3600000000       -0.0000000000
          av18+empot        1        0        0.3800000000       -0.0000000000
          av18+empot        1        0        0.4000000000       -0.0000000000
          av18+empot        1        0        0.4200000000       -0.0000000000
          av18+empot        1        0        0.4400000000       -0.0000000000
          av18+empot        1        0        0.4600000000       -0.0000000000
          av18+empot        1        0        0.4800000000       -0.0000000000
          av18+empot        1        0        0.5000000000       -0.0000000000
          av18+empot        1        0        0.5200000000       -0.0000000000
          av18+empot        1        0        0.5400000000       -0.0000000000
          av18+empot        1        0        0.5600000000       -0.0000000000
          av18+empot        1        0        0.5800000000       -0.0000000000
          av18+empot        1        0        0.6000000000       -0.0000000000
          av18+empot        1        0        0.6200000000       -0.0000000000
          av18+empot        1        0        0.6400000000       -0.0000000000
          av18+empot        1        0        0.6600000000       -0.0000000000
          av18+empot        1        0        0.6800000000       -0.0000000000
          av18+empot        1        0        0.7000000000       -0.0000000000
          av18+empot        1        0        0.7200000000       -0.0000000000
          av18+empot        1        0        0.7400000000       -0.0000000000
          av18+empot        1        0        0.7600000000       -0.0000000000
          av18+empot        1        0        0.7800000000       -0.0000000000
          av18+empot        1        0        0.8000000000       -0.0000000000
          av18+empot        1        0        0.8200000000       -0.0000000000
          av18+empot        1        0        0.8400000000       -0.0000000000
          av18+empot        1        0        0.8600000000       -0.0000000000
          av18+empot        1        0        0.8800000000       -0.0000000000
          av18+empot        1        0        0.9000000000       -0.0000000000
          av18+empot        1        0        0.9200000000       -0.0000000000
          av18+empot        1        0        0.9400000000       -0.0000000000
          av18+empot        1        0        0.9600000000       -0.0000000000
          av18+empot        1        0        0.9800000000       -0.0000000000
          av18+empot        1        0        1.0000000000       -0.0000000000
          av18+empot        2        0        0.0000000000        0.0000000000
          av18+empot        2        0        0.0200000000       -0.0000564582
          av18+empot        2        0        0.0400000000       -0.0002261613
          av18+empot        2        0        0.0600000000       -0.0005090222
          av18+empot        2        0        0.0800000000       -0.0009044634
          av18+empot        2        0        0.1000000000       -0.0014117196
          av18+empot        2        0        0.1200000000       -0.0020297170
          av18+empot        2        0        0.1400000000       -0.0027565548
          av18+empot        2        0        0.1600000000       -0.0035895853
          av18+empot        2        0        0.1800000000       -0.0045257895
          av18+empot        2        0        0.2000000000       -0.0055622402
          av18+empot        2        0        0.2200000000       -0.0066959964
          av18+empot        2        0        0.2400000000       -0.0079237002
          av18+empot        2        0        0.2600000000       -0.0092421007
          av18+empot        2        0        0.2800000000       -0.0106474192
          av18+empot        2        0        0.3000000000       -0.0121355949
          av18+empot        2        0        0.3200000000       -0.0137028483
          av18+empot        2        0        0.3400000000       -0.0153450229
          av18+empot        2        0        0.3600000000       -0.0170575621
          av18+empot        2        0        0.3800000000       -0.0188365687
          av18+empot        2        0        0.4000000000       -0.0206776396
          av18+empot        2        0        0.4200000000       -0.0225763774
          av18+empot        2        0        0.4400000000       -0.0245283231
          av18+empot        2        0        0.4600000000       -0.0265290551
          av18+empot        2        0        0.4800000000       -0.0285743370
          av18+empot        2        0        0.5000000000       -0.0306596175
          av18+empot        2        0        0.5200000000       -0.0327798921
          av18+empot        2        0        0.5400000000       -0.0349317130
          av18+empot        2        0        0.5600000000       -0.0371105621
          av18+empot        2        0        0.5800000000       -0.0393122911
          av18+empot        2        0        0.6000000000       -0.0415336973
          av18+empot        2        0        0.6200000000       -0.0437701475
          av18+empot        2        0        0.6400000000       -0.0460181625
          av18+empot        2        0        0.6600000000       -0.0482739429
          av18+empot        2        0        0.6800000000       -0.0505342187
          av18+empot        2        0        0.7000000000       -0.0527968322
          av18+empot        2        0        0.7200000000       -0.0550570396
          av18+empot        2        0        0.7400000000       -0.0573116148
          av18+empot        2        0        0.7600000000       -0.0595585580
          av18+empot        2        0        0.7800000000       -0.0617941828
          av18+empot        2        0        0.8000000000       -0.0640157518
          av18+empot        2        0        0.8200000000       -0.0662221329
          av18+empot        2        0        0.8400000000       -0.0684108521
          av18+empot        2        0        0.8600000000       -0.0705786725
          av18+empot        2        0        0.8800000000       -0.0727246533
          av18+empot        2        0        0.9000000000       -0.0748461198
          av18+empot        2        0        0.9200000000       -0.0769414185
          av18+empot        2        0        0.9400000000       -0.0790092351
          av18+empot        2        0        0.9600000000       -0.0810487974
          av18+empot        2        0        0.9800000000       -0.0830578791
          av18+empot        2        0        1.0000000000       -0.0850346932
          av18+empot        3        0        0.0000000000        0.0000000000
          av18+empot        3        0        0.0200000000        0.0000000000
          av18+empot        3        0        0.0400000000        0.0000000000
          av18+empot        3        0        0.0600000000        0.0000000000
          av18+empot        3        0        0.0800000000        0.0000000000
          av18+empot        3        0        0.1000000000        0.0000000000
          av18+empot        3        0        0.1200000000        0.0000000000
          av18+empot        3        0        0.1400000000        0.0000000000
          av18+empot        3        0        0.1600000000        0.0000000000
          av18+empot        3        0        0.1800000000        0.0000000000
          av18+empot        3        0        0.2000000000        0.0000000000
          av18+empot        3        0        0.2200000000        0.0000000000
          av18+empot        3        0        0.2400000000        0.0000000000
          av18+empot        3        0        0.2600000000        0.0000000000
          av18+empot        3        0        0.2800000000        0.0000000000
          av18+empot        3        0        0.3000000000        0.0000000000
          av18+empot        3        0        0.3200000000        0.0000000000
          av18+empot        3        0        0.3400000000        0.0000000000
          av18+empot        3        0        0.3600000000        0.0000000000
          av18+empot        3        0        0.3800000000        0.0000000000
          av18+empot        3        0        0.4000000000        0.0000000000
          av18+empot        3        0        0.4200000000        0.0000000000
          av18+empot        3        0        0.4400000000        0.0000000000
          av18+empot        3        0        0.4600000000        0.0000000000
          av18+empot        3        0        0.4800000000        0.0000000000
          av18+empot        3        0        0.5000000000        0.0000000000
          av18+empot        3        0        0.5200000000        0.0000000000
          av18+empot        3        0        0.5400000000        0.0000000000
          av18+empot        3        0        0.5600000000        0.0000000000
          av18+empot        3        0        0.5800000000        0.0000000000
          av18+empot        3        0        0.6000000000        0.0000000000
          av18+empot        3        0        0.6200000000        0.0000000000
          av18+empot        3        0        0.6400000000        0.0000000000
          av18+empot        3        0        0.6600000000        0.0000000000
          av18+empot        3        0        0.6800000000        0.0000000000
          av18+empot        3        0        0.7000000000        0.0000000000
          av18+empot        3        0        0.7200000000        0.0000000000
          av18+empot        3        0        0.7400000000        0.0000000000
          av18+empot        3        0        0.7600000000        0.0000000000
          av18+empot        3        0        0.7800000000        0.0000000000
          av18+empot        3        0        0.8000000000        0.0000000000
          av18+empot        3        0        0.8200000000        0.0000000000
          av18+empot        3        0        0.8400000000        0.0000000000
          av18+empot        3        0        0.8600000000        0.0000000000
          av18+empot        3        0        0.8800000000        0.0000000000
          av18+empot        3        0        0.9000000000        0.0000000000
          av18+empot        3        0        0.9200000000        0.0000000000
          av18+empot        3        0        0.9400000000        0.0000000000
          av18+empot        3        0        0.9600000000        0.0000000000
          av18+empot        3        0        0.9800000000        0.0000000000
          av18+empot        3        0        1.0000000000        0.0000000000
          av18+empot        4        0        0.0000000000        0.0000000000
          av18+empot        4        0        0.0200000000        0.0000000000
          av18+empot        4        0        0.0400000000        0.0000000000
          av18+empot        4        0        0.0600000000        0.0000000000
          av18+empot        4        0        0.0800000000        0.0000000000
          av18+empot        4        0        0.1000000000        0.0000000000
          av18+empot        4        0        0.1200000000        0.0000000000
          av18+empot        4        0        0.1400000000        0.0000000000
          av18+empot        4        0        0.1600000000        0.0000000000
          av18+empot        4        0        0.1800000000        0.0000000000
          av18+empot        4        0        0.2000000000        0.0000000000
          av18+empot        4        0        0.2200000000        0.0000000000
          av18+empot        4        0        0.2400000000        0.0000000000
          av18+empot        4        0        0.2600000000        0.0000000000
          av18+empot        4        0        0.2800000000        0.0000000000
          av18+empot        4        0        0.3000000000        0.0000000000
          av18+empot        4        0        0.3200000000        0.0000000000
          av18+empot        4        0        0.3400000000        0.0000000000
          av18+empot        4        0        0.3600000000        0.0000000000
          av18+empot        4        0        0.3800000000        0.0000000000
          av18+empot        4        0        0.4000000000        0.0000000000
          av18+empot        4        0        0.4200000000        0.0000000000
          av18+empot        4        0        0.4400000000        0.0000000000
          av18+empot        4        0        0.4600000000        0.0000000000
          av18+empot        4        0        0.4800000000        0.0000000000
          av18+empot        4        0        0.5000000000        0.0000000000
          av18+empot        4        0        0.5200000000        0.0000000000
          av18+empot        4        0        0.5400000000        0.0000000000
          av18+empot        4        0        0.5600000000        0.0000000000
          av18+empot        4        0        0.5800000000        0.0000000000
          av18+empot        4        0        0.6000000000        0.0000000000
          av18+empot        4        0        0.6200000000        0.0000000000
          av18+empot        4        0        0.6400000000        0.0000000000
          av18+empot        4        0        0.6600000000        0.0000000000
          av18+empot        4        0        0.6800000000        0.0000000000
          av18+empot        4        0        0.7000000000        0.0000000000
          av18+empot        4        0        0.7200000000        0.0000000000
          av18+empot        4        0        0.7400000000        0.0000000000
          av18+empot        4        0        0.7600000000        0.0000000000
          av18+empot        4        0        0.7800000000        0.0000000000
          av18+empot        4        0        0.8000000000        0.0000000000
          av18+empot        4        0        0.8200000000        0.0000000000
          av18+empot        4        0        0.8400000000        0.0000000000
          av18+empot        4        0        0.8600000000        0.0000000000
          av18+empot        4        0        0.8800000000        0.0000000000
          av18+empot        4        0        0.9000000000        0.0000000000
          av18+empot        4        0        0.9200000000        0.0000000000
          av18+empot        4        0        0.9400000000        0.0000000000
          av18+empot        4        0        0.9600000000        0.0000000000
          av18+empot        4        0        0.9800000000        0.0000000000
          av18+empot        4        0        1.0000000000        0.0000000000
           cdb+empot        0        0        0.0000000000        0.9999890572
           cdb+empot        0        0        0.0200000000        0.9997314646
           cdb+empot        0        0        0.0400000000        0.9989549606
           cdb+empot        0        0        0.0600000000        0.9976606933
           cdb+empot        0        0        0.0800000000        0.9958581349
           cdb+empot        0        0        0.1000000000        0.9935601812
           cdb+empot        0        0        0.1200000000        0.9907711237
           cdb+empot        0        0        0.1400000000        0.9874917568
           cdb+empot        0        0        0.1600000000        0.9837311493
           cdb+empot        0        0        0.1800000000        0.9795078239
           cdb+empot        0        0        0.2000000000        0.9748406382
           cdb+empot        0        0        0.2200000000        0.9697461717
           cdb+empot        0        0        0.2400000000        0.9642428849
           cdb+empot        0        0        0.2600000000        0.9583416723
           cdb+empot        0        0        0.2800000000        0.9520615270
           cdb+empot        0        0        0.3000000000        0.9454176443
           cdb+empot        0        0        0.3200000000        0.9384220199
           cdb+empot        0        0        0.3400000000        0.9310944376
           cdb+empot        0        0        0.3600000000        0.9234555521
           cdb+empot        0        0        0.3800000000        0.9155225363
           cdb+empot        0        0        0.4000000000        0.9073089048
           cdb+empot        0        0        0.4200000000        0.8988376343
           cdb+empot        0        0        0.4400000000        0.8901329127
           cdb+empot        0        0        0.4600000000        0.8812100258
           cdb+empot        0        0        0.4800000000        0.8720804118
           cdb+empot        0        0        0.5000000000        0.8627615266
           cdb+empot        0        0        0.5200000000        0.8532762758
           cdb+empot        0        0        0.5400000000        0.8436371011
           cdb+empot        0        0        0.5600000000        0.8338579990
           cdb+empot        0        0        0.5800000000        0.8239631515
           cdb+empot        0        0        0.6000000000        0.8139596747
           cdb+empot        0        0        0.6200000000        0.8038568430
           cdb+empot        0        0        0.6400000000        0.7936832435
           cdb+empot        0        0        0.6600000000        0.7834490558
           cdb+empot        0        0        0.6800000000        0.7731570418
           cdb+empot        0        0        0.7000000000        0.7628266698
           cdb+empot        0        0        0.7200000000        0.7524671876
           cdb+empot        0        0        0.7400000000        0.7420934788
           cdb+empot        0        0        0.7600000000        0.7317120929
           cdb+empot        0        0        0.7800000000        0.7213307658
           cdb+empot        0        0        0.8000000000        0.7109583252
           cdb+empot        0        0        0.8200000000        0.7006010360
           cdb+empot        0        0        0.8400000000        0.6902652619
           cdb+empot        0        0        0.8600000000        0.6799721798
           cdb+empot        0        0        0.8800000000        0.6697318207
           cdb+empot        0        0        0.9000000000        0.6595442552
           cdb+empot        0        0        0.9200000000        0.6494078361
           cdb+empot        0        0        0.9400000000        0.6393235770
           cdb+empot        0        0        0.9600000000        0.6293002875
           cdb+empot        0        0        0.9800000000        0.6193506357
           cdb+empot        0        0        1.0000000000        0.6094897351
           cdb+empot        1        0        0.0000000000       -0.0000000000
           cdb+empot        1        0        0.0200000000       -0.0000000000
           cdb+empot        1        0        0.0400000000       -0.0000000000
           cdb+empot        1        0        0.0600000000       -0.0000000000
           cdb+empot        1        0        0.0800000000       -0.0000000000
           cdb+empot        1        0        0.1000000000       -0.0000000000
           cdb+empot        1        0        0.1200000000       -0.0000000000
           cdb+empot        1        0        0.1400000000       -0.0000000000
           cdb+empot        1        0        0.1600000000       -0.0000000000
           cdb+empot        1        0        0.1800000000       -0.0000000000
           cdb+empot        1        0        0.2000000000       -0.0000000000
           cdb+empot        1        0        0.2200000000       -0.0000000000
           cdb+empot        1        0        0.2400000000       -0.0000000000
           cdb+empot        1        0        0.2600000000       -0.0000000000
           cdb+empot        1        0        0.2800000000       -0.0000000000
           cdb+empot        1        0        0.3000000000       -0.0000000000
           cdb+empot        1        0        0.3200000000       -0.0000000000
           cdb+empot        1        0        0.3400000000       -0.0000000000
           cdb+empot        1        0        0.3600000000       -0.0000000000
           cdb+empot        1        0        0.3800000000       -0.0000000000
           cdb+empot        1        0        0.4000000000       -0.0000000000
           cdb+empot        1        0        0.4200000000       -0.0000000000
           cdb+empot        1        0        0.4400000000       -0.0000000000
           cdb+empot        1        0        0.4600000000       -0.0000000000
           cdb+empot        1        0        0.4800000000       -0.0000000000
           cdb+empot        1        0        0.5000000000       -0.0000000000
           cdb+empot        1        0        0.5200000000       -0.0000000000
           cdb+empot        1        0        0.5400000000       -0.0000000000
           cdb+empot        1        0        0.5600000000       -0.0000000000
           cdb+empot        1        0        0.5800000000       -0.0000000000
           cdb+empot        1        0        0.6000000000       -0.0000000000
           cdb+empot        1        0        0.6200000000       -0.0000000000
           cdb+empot        1        0        0.6400000000       -0.0000000000
           cdb+empot        1        0        0.6600000000       -0.0000000000
           cdb+empot        1        0        0.6800000000       -0.0000000000
           cdb+empot        1        0        0.7000000000       -0.0000000000
           cdb+empot        1        0        0.7200000000       -0.0000000000
           cdb+empot        1        0        0.7400000000       -0.0000000000
           cdb+empot        1        0        0.7600000000       -0.0000000000
           cdb+empot        1        0        0.7800000000       -0.0000000000
           cdb+empot        1        0        0.8000000000       -0.0000000000
           cdb+empot        1        0        0.8200000000       -0.0000000000
           cdb+empot        1        0        0.8400000000       -0.0000000000
           cdb+empot        1        0        0.8600000000       -0.0000000000
           cdb+empot        1        0        0.8800000000       -0.0000000000
           cdb+empot        1        0        0.9000000000       -0.0000000000
           cdb+empot        1        0        0.9200000000       -0.0000000000
           cdb+empot        1        0        0.9400000000       -0.0000000000
           cdb+empot        1        0        0.9600000000       -0.0000000000
           cdb+empot        1        0        0.9800000000       -0.0000000000
           cdb+empot        1        0        1.0000000000       -0.0000000000
           cdb+empot        2        0        0.0000000000        0.0000000000
           cdb+empot        2        0        0.0200000000       -0.0000564071
           cdb+empot        2        0        0.0400000000       -0.0002259482
           cdb+empot        2        0        0.0600000000       -0.0005085172
           cdb+empot        2        0        0.0800000000       -0.0009035139
