                wave       xi      mxi                   q                 mat
          av18+empot        0        0        0.0000000000        0.0000000000
          av18+empot        0        0        0.0200000000       -0.0003998888
          av18+empot        0        0        0.0400000000       -0.0015983129
          av18+empot        0        0        0.0600000000       -0.0035915457
          av18+empot        0        0        0.0800000000       -0.0063734357
          av18+empot        0        0        0.1000000000       -0.0099355167
          av18+empot        0        0        0.1200000000       -0.0142669854
          av18+empot        0        0        0.1400000000       -0.0193546839
          av18+empot        0        0        0.1600000000       -0.0251833212
          av18+empot        0        0        0.1800000000       -0.0317358068
          av18+empot        0        0        0.2000000000       -0.0389933258
          av18+empot        0        0        0.2200000000       -0.0469353606
          av18+empot        0        0        0.2400000000       -0.0555399761
          av18+empot        0        0        0.2600000000       -0.0647834119
          av18+empot        0        0        0.2800000000       -0.0746410471
          av18+empot        0        0        0.3000000000       -0.0850868824
          av18+empot        0        0        0.3200000000       -0.0960935366
          av18+empot        0        0        0.3400000000       -0.1076334112
          av18+empot        0        0        0.3600000000       -0.1196784340
          av18+empot        0        0        0.3800000000       -0.1321996671
          av18+empot        0        0        0.4000000000       -0.1451671735
          av18+empot        0        0        0.4200000000       -0.1585521855
          av18+empot        0        0        0.4400000000       -0.1723263820
          av18+empot        0        0        0.4600000000       -0.1864600441
          av18+empot        0        0        0.4800000000       -0.2009225852
          av18+empot        0        0        0.5000000000       -0.2156847744
          av18+empot        0        0        0.5200000000       -0.2307192790
          av18+empot        0        0        0.5400000000       -0.2459967542
          av18+empot        0        0        0.5600000000       -0.2614886877
          av18+empot        0        0        0.5800000000       -0.2771704526
          av18+empot        0        0        0.6000000000       -0.2930128881
          av18+empot        0        0        0.6200000000       -0.3089877778
          av18+empot        0        0        0.6400000000       -0.3250752616
          av18+empot        0        0        0.6600000000       -0.3412499789
          av18+empot        0        0        0.6800000000       -0.3574838768
          av18+empot        0        0        0.7000000000       -0.3737570869
          av18+empot        0        0        0.7200000000       -0.3900464375
          av18+empot        0        0        0.7400000000       -0.4063326910
          av18+empot        0        0        0.7600000000       -0.4225934473
          av18+empot        0        0        0.7800000000       -0.4388078219
          av18+empot        0        0        0.8000000000       -0.4549565580
          av18+empot        0        0        0.8200000000       -0.4710197788
          av18+empot        0        0        0.8400000000       -0.4869786492
          av18+empot        0        0        0.8600000000       -0.5028262019
          av18+empot        0        0        0.8800000000       -0.5185497933
          av18+empot        0        0        0.9000000000       -0.5341302164
          av18+empot        0        0        0.9200000000       -0.5495471467
          av18+empot        0        0        0.9400000000       -0.5647826608
          av18+empot        0        0        0.9600000000       -0.5798264272
          av18+empot        0        0        0.9800000000       -0.5946734817
          av18+empot        0        0        1.0000000000       -0.6093235844
          av18+empot        1        0        0.0000000000        0.0000000000
          av18+empot        1        0        0.0200000000        0.0000000000
          av18+empot        1        0        0.0400000000        0.0000000000
          av18+empot        1        0        0.0600000000        0.0000000000
          av18+empot        1        0        0.0800000000        0.0000000000
          av18+empot        1        0        0.1000000000        0.0000000000
          av18+empot        1        0        0.1200000000        0.0000000000
          av18+empot        1        0        0.1400000000        0.0000000000
          av18+empot        1        0        0.1600000000        0.0000000000
