                wave       xi      mxi                   q                 mat
          av18+empot        0        0        0.0000000000        1.9996314754
          av18+empot        0        0        0.1000000000        1.9867392523
          av18+empot        0        0        0.2000000000        1.9493791008
          av18+empot        0        0        0.3000000000        1.8904068461
          av18+empot        0        0        0.4000000000        1.8140249324
          av18+empot        0        0        0.5000000000        1.7249293384
          av18+empot        0        0        0.6000000000        1.6276461735
          av18+empot        0        0        0.7000000000        1.5261508364
          av18+empot        0        0        0.8000000000        1.4236051433
          av18+empot        0        0        0.9000000000        1.3223907071
          av18+empot        0        0        1.0000000000        1.2242206700
          av18+empot        1        0        0.0000000000       -0.0000000000
          av18+empot        1        0        0.1000000000       -0.0000000000
          av18+empot        1        0        0.2000000000       -0.0000000000
          av18+empot        1        0        0.3000000000       -0.0000000000
          av18+empot        1        0        0.4000000000       -0.0000000000
          av18+empot        1        0        0.5000000000       -0.0000000000
          av18+empot        1        0        0.6000000000       -0.0000000000
          av18+empot        1        0        0.7000000000       -0.0000000000
          av18+empot        1        0        0.8000000000       -0.0000000000
          av18+empot        1        0        0.9000000000       -0.0000000000
          av18+empot        1        0        1.0000000000       -0.0000000000
          av18+empot        2        0        0.0000000000        0.0000000000
          av18+empot        2        0        0.1000000000       -0.0028070001
          av18+empot        2        0        0.2000000000       -0.0110693927
          av18+empot        2        0        0.3000000000       -0.0241705537
          av18+empot        2        0        0.4000000000       -0.0412299775
          av18+empot        2        0        0.5000000000       -0.0612423572
          av18+empot        2        0        0.6000000000       -0.0831930245
          av18+empot        2        0        0.7000000000       -0.1061562707
          av18+empot        2        0        0.8000000000       -0.1293379320
          av18+empot        2        0        0.9000000000       -0.1520936294
          av18+empot        2        0        1.0000000000       -0.1739363851
          av18+empot        3        0        0.0000000000        0.0000000000
          av18+empot        3        0        0.1000000000        0.0000000000
          av18+empot        3        0        0.2000000000        0.0000000000
          av18+empot        3        0        0.3000000000        0.0000000000
          av18+empot        3        0        0.4000000000        0.0000000000
          av18+empot        3        0        0.5000000000        0.0000000000
          av18+empot        3        0        0.6000000000        0.0000000000
          av18+empot        3        0        0.7000000000        0.0000000000
          av18+empot        3        0        0.8000000000        0.0000000000
          av18+empot        3        0        0.9000000000        0.0000000000
          av18+empot        3        0        1.0000000000        0.0000000000
          av18+empot        4        0        0.0000000000        0.0000000000
          av18+empot        4        0        0.1000000000        0.0000000000
          av18+empot        4        0        0.2000000000        0.0000000000
          av18+empot        4        0        0.3000000000        0.0000000000
          av18+empot        4        0        0.4000000000        0.0000000000
          av18+empot        4        0        0.5000000000        0.0000000000
          av18+empot        4        0        0.6000000000        0.0000000000
