                wave       xi      mxi                   q                 mat
          av18+empot        0        0        0.0000000000        0.0000000000
          av18+empot        0        0        0.1000000000        0.0198673925
          av18+empot        0        0        0.2000000000        0.0779751640
          av18+empot        0        0        0.3000000000        0.1701366161
          av18+empot        0        0        0.4000000000        0.2902439892
          av18+empot        0        0        0.5000000000        0.4312323346
          av18+empot        0        0        0.6000000000        0.5859526225
          av18+empot        0        0        0.7000000000        0.7478139098
          av18+empot        0        0        0.8000000000        0.9111072917
          av18+empot        0        0        0.9000000000        1.0711364727
          av18+empot        0        0        1.0000000000        1.2242206700
          av18+empot        1        0        0.0000000000        0.0000000000
          av18+empot        1        0        0.1000000000       -0.0000000000
          av18+empot        1        0        0.2000000000       -0.0000000000
          av18+empot        1        0        0.3000000000       -0.0000000000
          av18+empot        1        0        0.4000000000       -0.0000000000
          av18+empot        1        0        0.5000000000       -0.0000000000
          av18+empot        1        0        0.6000000000       -0.0000000000
          av18+empot        1        0        0.7000000000       -0.0000000000
          av18+empot        1        0        0.8000000000       -0.0000000000
          av18+empot        1        0        0.9000000000       -0.0000000000
          av18+empot        1        0        1.0000000000       -0.0000000000
          av18+empot        2        0        0.0000000000        0.0000000000
          av18+empot        2        0        0.1000000000       -0.0000280700
          av18+empot        2        0        0.2000000000       -0.0004427757
          av18+empot        2        0        0.3000000000       -0.0021753498
          av18+empot        2        0        0.4000000000       -0.0065967964
          av18+empot        2        0        0.5000000000       -0.0153105893
          av18+empot        2        0        0.6000000000       -0.0299494888
          av18+empot        2        0        0.7000000000       -0.0520165727
          av18+empot        2        0        0.8000000000       -0.0827762765
          av18+empot        2        0        0.9000000000       -0.1231958398
          av18+empot        2        0        1.0000000000       -0.1739363851
          av18+empot        3        0        0.0000000000        0.0000000000
          av18+empot        3        0        0.1000000000        0.0000000000
          av18+empot        3        0        0.2000000000        0.0000000000
          av18+empot        3        0        0.3000000000        0.0000000000
          av18+empot        3        0        0.4000000000        0.0000000000
          av18+empot        3        0        0.5000000000        0.0000000000
          av18+empot        3        0        0.6000000000        0.0000000000
          av18+empot        3        0        0.7000000000        0.0000000000
          av18+empot        3        0        0.8000000000        0.0000000000
          av18+empot        3        0        0.9000000000        0.0000000000
          av18+empot        3        0        1.0000000000        0.0000000000
          av18+empot        4        0        0.0000000000        0.0000000000
          av18+empot        4        0        0.1000000000        0.0000000000
          av18+empot        4        0        0.2000000000        0.0000000000
          av18+empot        4        0        0.3000000000        0.0000000000
          av18+empot        4        0        0.4000000000        0.0000000000
          av18+empot        4        0        0.5000000000        0.0000000000
          av18+empot        4        0        0.6000000000        0.0000000000
          av18+empot        4        0        0.7000000000        0.0000000000
          av18+empot        4        0        0.8000000000        0.0000000000
          av18+empot        4        0        0.9000000000        0.0000000000
          av18+empot        4        0        1.0000000000        0.0000000000
           cdb+empot        0        0        0.0000000000        0.0000000000
           cdb+empot        0        0        0.1000000000        0.0198680189
           cdb+empot        0        0        0.2000000000        0.0779794858
           cdb+empot        0        0        0.3000000000        0.1701536969
           cdb+empot        0        0        0.4000000000        0.2902935250
           cdb+empot        0        0        0.5000000000        0.4313496236
           cdb+empot        0        0        0.6000000000        0.5861935852
           cdb+empot        0        0        0.7000000000        0.7482598223
           cdb+empot        0        0        0.8000000000        0.9118688865
           cdb+empot        0        0        0.9000000000        1.0723571765
           cdb+empot        0        0        1.0000000000        1.2260792412
           cdb+empot        1        0        0.0000000000        0.0000000000
           cdb+empot        1        0        0.1000000000       -0.0000000000
           cdb+empot        1        0        0.2000000000       -0.0000000000
           cdb+empot        1        0        0.3000000000       -0.0000000000
           cdb+empot        1        0        0.4000000000       -0.0000000000
           cdb+empot        1        0        0.5000000000       -0.0000000000
           cdb+empot        1        0        0.6000000000       -0.0000000000
           cdb+empot        1        0        0.7000000000       -0.0000000000
           cdb+empot        1        0        0.8000000000       -0.0000000000
           cdb+empot        1        0        0.9000000000       -0.0000000000
