                                                    wave       xi      mxi                   q    2-pion-g_L7_XI4_Q1_NQ11_NX25_NPHI
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0000000000                      -166.4287660123
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1000000000                      -165.7745692030
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2000000000                      -163.8238494555
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3000000000                      -160.6161727710
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4000000000                      -156.2201652146
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5000000000                      -150.7357784380
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6000000000                      -144.2943936644
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7000000000                      -137.0542687041
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8000000000                      -129.1966728752
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9000000000                      -120.9140831050
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        1.0000000000                      -112.3954490493
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0000000000                        -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1000000000                        -0.0139666802
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2000000000                        -0.0535513332
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3000000000                        -0.1122565895
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4000000000                        -0.1806759312
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5000000000                        -0.2482356886
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6000000000                        -0.3050139157
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7000000000                        -0.3433082215
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8000000000                        -0.3586322025
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.9000000000                        -0.3500909464
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        1.0000000000                        -0.3201285190
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.1000000000                         0.0000000000
