                                                    wave       xi      mxi                   q    2-pion-q_L7_XI4_Q1_NQ11_NX25_NPHI
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0000000000                         2.3327814014
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1000000000                         2.3386070097
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2000000000                         2.3546648095
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3000000000                         2.3770325012
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4000000000                         2.3999937946
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5000000000                         2.4170607071
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6000000000                         2.4220382715
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7000000000                         2.4098925294
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8000000000                         2.3773835802
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9000000000                         2.3232477398
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        1.0000000000                         2.2480030126
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1000000000                         0.0014858730
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2000000000                         0.0056676403
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3000000000                         0.0117662340
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4000000000                         0.0186375267
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5000000000                         0.0249633895
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6000000000                         0.0294546295
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7000000000                         0.0310318484
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8000000000                         0.0289493322
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.9000000000                         0.0228555049
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        1.0000000000                         0.0127848515
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.1000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.2000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.3000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.4000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.5000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.6000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.7000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.8000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.9000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        1.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.1000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.2000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.3000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.4000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.5000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.6000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.7000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.8000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.9000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        1.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.1000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.2000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.3000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.4000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.5000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.6000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.7000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.8000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.9000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        1.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.0000000000                         2.3327814014
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.1000000000                         2.3386070097
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.2000000000                         2.3546648095
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.3000000000                         2.3770325012
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.4000000000                         2.3999937946
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.5000000000                         2.4170607071
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.6000000000                         2.4220382715
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.7000000000                         2.4098925294
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.8000000000                         2.3773835802
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.9000000000                         2.3232477398
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        1.0000000000                         2.2480030126
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.1000000000                         0.0014858730
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.2000000000                         0.0056676403
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.3000000000                         0.0117662340
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.4000000000                         0.0186375267
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.5000000000                         0.0249633895
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.6000000000                         0.0294546295
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.7000000000                         0.0310318484
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.8000000000                         0.0289493322
