                                                    wave       xi      mxi                   q    2-pion-q_L7_XI4_Q1_NQ11_NX25_NPHI    2-pion-g_L7_XI4_Q1_NQ11_NX25_NPHI
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0000000000                       -14.1951033201                       -34.7216524758
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1000000000                       -14.0609532652                       -35.8674355753
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2000000000                       -13.6653708313                       -39.2306171788
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3000000000                       -13.0285577953                       -44.5980242596
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4000000000                       -12.1814489020                       -51.6391519233
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5000000000                       -11.1629282728                       -59.9403811959
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6000000000                       -10.0162780154                       -69.0433637479
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7000000000                        -8.7856785941                       -78.4821629755
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8000000000                        -7.5133380626                       -87.8156395366
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9000000000                        -6.2373565449                       -96.6523838200
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        1.0000000000                        -4.9903107886                      -104.6663797209
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.9000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        1.0000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.0000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.1000000000                         0.0000000000                         0.0000000000
