                                                    wave       xi      mxi                   q                 mat
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1000000000        0.0298099192
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2000000000        0.1174008839
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3000000000        0.2574660489
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4000000000        0.4418189429
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5000000000        0.6602368814
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6000000000        0.9014139144
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7000000000        1.1538622291
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8000000000        1.4066845008
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9000000000        1.6501487660
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        1.0000000000        1.8760478604
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.9000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        1.0000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.0000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.1000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.2000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.3000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.4000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.5000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.6000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.7000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.8000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.9000000000        0.0000000000
