                                                    wave       xi      mxi                   q                 mat
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0000000000       -0.9991484896
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1000000000       -0.9926891191
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2000000000       -0.9737189081
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3000000000       -0.9433070803
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4000000000       -0.9030987102
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5000000000       -0.8550824056
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6000000000       -0.8013840289
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7000000000       -0.7440627202
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8000000000       -0.6849895018
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9000000000       -0.6257626617
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        1.0000000000       -0.5676652374
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.9000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        1.0000000000        0.0000000000
