                                                    wave       xi      mxi                   q                 mat
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1000000000       -0.0099268912
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2000000000       -0.0389487563
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3000000000       -0.0848976372
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4000000000       -0.1444957936
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5000000000       -0.2137706014
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6000000000       -0.2884982504
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7000000000       -0.3645907329
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8000000000       -0.4383932812
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9000000000       -0.5068677560
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        1.0000000000       -0.5676652374
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.9000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        1.0000000000        0.0000000000
