                                                    wave       xi      mxi                   q    2-pion-g_L7_XI4_Q1_NQ11_NX25_NPHI
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0000000000                      -175.0886212811
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1000000000                      -174.3558898415
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2000000000                      -172.1720864011
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3000000000                      -168.5873882292
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4000000000                      -163.6873125608
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5000000000                      -157.5947613061
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6000000000                      -150.4690362301
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7000000000                      -142.4991717201
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8000000000                      -133.8980750494
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9000000000                      -124.8878457347
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        1.0000000000                      -115.6820305192
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0000000000                        -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1000000000                        -0.0157389419
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2000000000                        -0.0604288046
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3000000000                        -0.1269727849
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4000000000                        -0.2050810305
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5000000000                        -0.2831542835
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6000000000                        -0.3502587122
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7000000000                        -0.3978362726
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8000000000                        -0.4207956769
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.9000000000                        -0.4179300242
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        1.0000000000                        -0.3916405412
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.1000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.2000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.3000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.4000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.5000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.6000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.7000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.8000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.9000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        1.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.1000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.2000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.3000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.4000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.5000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.6000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.7000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.8000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.9000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        1.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.1000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.2000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.3000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.4000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.5000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.6000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.7000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.8000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.9000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        1.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.0000000000                      -159.7904384969
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.1000000000                      -159.1929292882
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.2000000000                      -157.4105482740
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.3000000000                      -154.4765419298
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.4000000000                      -150.4491961049
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.5000000000                      -145.4142314427
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.6000000000                      -139.4854261185
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.7000000000                      -132.8011670837
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.8000000000                      -125.5216016818
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.9000000000                      -117.8184840938
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        1.0000000000                      -109.8623541818
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.0000000000                        -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.1000000000                        -0.0133629598
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.2000000000                        -0.0512327010
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.3000000000                        -0.1073777785
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.4000000000                        -0.1727701398
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.5000000000                        -0.2372561152
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.6000000000                        -0.2913040165
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.7000000000                        -0.3275173124
