                wave       xi      mxi                   q    2-pion-q_L2_XI2_Q1_NQ11_NX20_NPHI    2-pion-q_L2_XI2_Q1_NQ11_NX20_NPHI    2-pion-q_L2_XI2_Q1_NQ11_NX20_NPHI    2-pion-q_L2_XI2_Q1_NQ11_NX25_NPHI    2-pion-q_L2_XI2_Q1_NQ11_NX25_NPHI    2-pion-q_L2_XI2_Q1_NQ11_NX25_NPHI
av18-empot-no3nf-E=s        0        0        0.0000000000                         9.8395996547                         9.8417348633                         9.8424242931                         9.8396487108                         9.8417784538                         9.8424663076
av18-empot-no3nf-E=s        0        0        0.1000000000                         9.9240704474                         9.9261584182                         9.9268312232                         9.9241076017                         9.9261920947                         9.9268644363
av18-empot-no3nf-E=s        0        0        0.2000000000                        10.1715554710                        10.1735077194                        10.1741329927                        10.1715599062                        10.1735141253                        10.1741419826
av18-empot-no3nf-E=s        0        0        0.3000000000                        10.5647527080                        10.5664967418                        10.5670498014                        10.5647116446                        10.5664651731                        10.5670250189
av18-empot-no3nf-E=s        0        0        0.4000000000                        11.0764730436                        11.0779584399                        11.0784230893                        11.0763843128                        11.0778869779                        11.0783627404
av18-empot-no3nf-E=s        0        0        0.5000000000                        11.6732980787                        11.6744989449                        11.6748681871                        11.6731696499                        11.6743940742                        11.6747778977
av18-empot-no3nf-E=s        0        0        0.6000000000                        12.3189840706                        12.3198974349                        12.3201725492                        12.3188311402                        12.3197716463                        12.3200632552
av18-empot-no3nf-E=s        0        0        0.7000000000                        12.9775043039                        12.9781455971                        12.9783341261                        12.9773451563                        12.9780139768                        12.9782190755
av18-empot-no3nf-E=s        0        0        0.8000000000                        13.6155098648                        13.6159071140                        13.6160204647                        13.6153617918                        13.6157839785                        13.6159122611
av18-empot-no3nf-E=s        0        0        0.9000000000                        14.2042225637                        14.2044106883                        14.2044619172                        14.2040987824                        14.2043070393                        14.2043702869
av18-empot-no3nf-E=s        0        0        1.0000000000                        14.7205647341                        14.7205807843                        14.7205828834                        14.7204727451                        14.7205029472                        14.7205134789
av18-empot-urbanaIXp        0        0        0.0000000000                        10.9669774246                        10.9690908126                        10.9697794839                        10.9670241834                        10.9691325905                        10.9698200223
av18-empot-urbanaIXp        0        0        0.1000000000                        11.0560847107                        11.0581467123                        11.0588175600                        11.0561185920                        11.0581777594                        11.0588485667
av18-empot-urbanaIXp        0        0        0.2000000000                        11.3173834791                        11.3192979309                        11.3199178635                        11.3173820179                        11.3192995091                        11.3199226810
av18-empot-urbanaIXp        0        0        0.3000000000                        11.7332892315                        11.7349777245                        11.7355204776                        11.7332388014                        11.7349384141                        11.7354889138
