                                                    wave       xi      mxi                   q    2-pion-q_L7_XI4_Q1_NQ11_NX25_NPHI
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0000000000                         2.5151696046
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1000000000                         2.5201285140
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2000000000                         2.5335291695
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3000000000                         2.5513547077
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4000000000                         2.5677809328
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5000000000                         2.5762742909
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6000000000                         2.5707205493
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7000000000                         2.5463232118
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8000000000                         2.5002428581
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9000000000                         2.4317353544
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        1.0000000000                         2.3418778910
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1000000000                         0.0016812357
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2000000000                         0.0064249727
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3000000000                         0.0133836224
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4000000000                         0.0213115978
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5000000000                         0.0287722036
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6000000000                         0.0343583850
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7000000000                         0.0368903648
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8000000000                         0.0355512980
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.9000000000                         0.0299537211
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        1.0000000000                         0.0201294707
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.1000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.2000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.3000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.4000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.5000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.6000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.7000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.8000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.9000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        1.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.1000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.2000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.3000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.4000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.5000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.6000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.7000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.8000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        0.9000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        3        0        1.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.1000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.2000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.3000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.4000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.5000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.6000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.7000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.8000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        0.9000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        4        0        1.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.0000000000                         2.2440080822
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.1000000000                         2.2499013301
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.2000000000                         2.2662457558
