                                                    wave       xi      mxi                   q    2-pion-q_L7_XI4_Q1_NQ11_NX25_NPHI    2-pion-g_L7_XI4_Q1_NQ11_NX25_NPHI
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0000000000                       -13.8181181515                       -34.1774073772
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1000000000                       -13.6859366693                       -35.2955230153
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2000000000                       -13.2962618456                       -38.5764658818
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3000000000                       -12.6692377261                       -43.8092570283
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4000000000                       -11.8356771412                       -50.6670362958
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5000000000                       -10.8342895029                       -58.7413781503
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6000000000                        -9.7080914687                       -67.5805427090
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7000000000                        -8.5009086889                       -76.7264691419
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8000000000                        -7.2545124821                       -85.7469259432
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9000000000                        -6.0064957045                       -94.2601033741
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        1.0000000000                        -4.7888716965                      -101.9497822340
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.9000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        1.0000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.0000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.1000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.2000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.3000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.4000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.5000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.6000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.7000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.8000000000                         0.0000000000                         0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.9000000000                         0.0000000000                         0.0000000000
