                wave       xi      mxi                   q    twopion_L6_XI0_Q1_NQ1_NX20_NPHI30
av18-empot-no3nf-E=s        0        0        0.0000000000                        -0.0157169602
av18-empot-urbanaIXp        0        0        0.0000000000                        -0.0172100319
cdb-empot-no3nf-E=se        0        0        0.0000000000                        -0.0070158739
cdb-empot-tm99l4469p        0        0        0.0000000000                        -0.0078051619
ich-lo-cut=1-no3nf-E        0        0        0.0000000000                         0.0438570355
ich-lo-cut=2-no3nf-E        0        0        0.0000000000                         0.0454823880
ich-lo-cut=3-no3nf-E        0        0        0.0000000000                         0.0441589897
ich-lo-cut=4-no3nf-E        0        0        0.0000000000                         0.0415242137
ich-lo-cut=5-no3nf-E        0        0        0.0000000000                         0.0384411558
ich-n2lo-cut=1-no3nf        0        0        0.0000000000                        -0.0056475628
ich-n2lo-cut=2-no3nf        0        0        0.0000000000                         0.0002121105
ich-n2lo-cut=3-no3nf        0        0        0.0000000000                         0.0061364844
ich-n2lo-cut=4-no3nf        0        0        0.0000000000                         0.0116331963
ich-n2lo-cut=5-no3nf        0        0        0.0000000000                         0.0165174421
ich-n3lo-cut=1-no3nf        0        0        0.0000000000                        -0.0010728400
ich-n3lo-cut=2-no3nf        0        0        0.0000000000                        -0.0084104276
ich-n3lo-cut=3-no3nf        0        0        0.0000000000                        -0.0126977428
ich-n3lo-cut=4-no3nf        0        0        0.0000000000                        -0.0144428153
ich-n3lo-cut=5-no3nf        0        0        0.0000000000                        -0.0147961303
ich-n4lo-cut=1-no3nf        0        0        0.0000000000                        -0.0080358861
ich-n4lo-cut=2-no3nf        0        0        0.0000000000                        -0.0094924482
ich-n4lo-cut=3-no3nf        0        0        0.0000000000                        -0.0107678834
ich-n4lo-cut=4-no3nf        0        0        0.0000000000                        -0.0122245743
ich-n4lo-cut=5-no3nf        0        0        0.0000000000                        -0.0129159826
ich-nlo-cut=1-no3nf-        0        0        0.0000000000                        -0.0070950238
ich-nlo-cut=2-no3nf-        0        0        0.0000000000                         0.0002002497
ich-nlo-cut=3-no3nf-        0        0        0.0000000000                         0.0070179544
ich-nlo-cut=4-no3nf-        0        0        0.0000000000                         0.0130901968
ich-nlo-cut=5-no3nf-        0        0        0.0000000000                         0.0182735602
