                                                    wave       xi      mxi                   q                 mat
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0000000000        2.9964751029
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0200000000        2.9958247117
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0400000000        2.9938664860
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0600000000        2.9905999674
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0800000000        2.9860350320
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1000000000        2.9801860811
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1200000000        2.9730657984
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1400000000        2.9646860267
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1600000000        2.9550622055
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1800000000        2.9442125640
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2000000000        2.9321581084
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2200000000        2.9189225557
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2400000000        2.9045326325
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2600000000        2.8890145109
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2800000000        2.8723994760
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3000000000        2.8547167287
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3200000000        2.8359970855
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3400000000        2.8162764659
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3600000000        2.7955866386
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3800000000        2.7739624147
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4000000000        2.7514423791
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4200000000        2.7280644604
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4400000000        2.7038630324
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4600000000        2.6788825942
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4800000000        2.6531608926
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5000000000        2.6267322199
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5200000000        2.5996397394
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5400000000        2.5719277740
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5600000000        2.5436288107
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5800000000        2.5147794184
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6000000000        2.4854210252
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6200000000        2.4555990695
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6400000000        2.4253464030
