                                                    wave       xi      mxi                   q                 mat
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0200000000        0.0011983299
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0400000000        0.0047901864
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0600000000        0.0107661606
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0800000000        0.0191106277
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1000000000        0.0298018695
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1200000000        0.0428121650
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1400000000        0.0581078855
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1600000000        0.0756496525
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1800000000        0.0953925504
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2000000000        0.1172863830
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2200000000        0.1412759141
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2400000000        0.1673011133
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2600000000        0.1952974717
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2800000000        0.2251961266
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3000000000        0.2569245367
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3200000000        0.2904061544
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3400000000        0.3255614744
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3600000000        0.3623078806
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3800000000        0.4005602214
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4000000000        0.4402306083
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4200000000        0.4812305808
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4400000000        0.5234686169
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4600000000        0.5668525914
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4800000000        0.6112895305
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5000000000        0.6566865084
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5200000000        0.7029477073
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5400000000        0.7499795563
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5600000000        0.7976875495
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5800000000        0.8459809267
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6000000000        0.8947647648
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6200000000        0.9439448426
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6400000000        0.9934337374
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6600000000        1.0431432654
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6800000000        1.0929842118
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7000000000        1.1428706206
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7200000000        1.1927181190
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7400000000        1.2424452304
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7600000000        1.2919730123
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7800000000        1.3412263058
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8000000000        1.3901306066
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8200000000        1.4386084489
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8400000000        1.4865933438
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8600000000        1.5340232876
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8800000000        1.5808289181
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9000000000        1.6269490366
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9200000000        1.6723319418
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9400000000        1.7169171156
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9600000000        1.7606462031
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9800000000        1.8034748467
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        1.0000000000        1.8453619415
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8200000000       -0.0000000000
