                                                    wave       xi      mxi                   q                 mat
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0000000000        0.9991342109
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0200000000        0.9988583711
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0400000000        0.9980278748
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0600000000        0.9966438460
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0800000000        0.9947128287
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1000000000        0.9922428309
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1200000000        0.9892396646
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1400000000        0.9857089474
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1600000000        0.9816591272
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1800000000        0.9771003248
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2000000000        0.9720437650
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2200000000        0.9665021191
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2400000000        0.9604897329
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2600000000        0.9540202154
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2800000000        0.9471101652
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3000000000        0.9397746429
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3200000000        0.9320297223
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3400000000        0.9238939438
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3600000000        0.9153833203
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3800000000        0.9065156427
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4000000000        0.8973111234
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4200000000        0.8877881905
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4400000000        0.8779648796
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4600000000        0.8678623695
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4800000000        0.8575003419
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5000000000        0.8468941257
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5200000000        0.8360650376
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5400000000        0.8250341273
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5600000000        0.8138165114
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5800000000        0.8024289567
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6000000000        0.7908897506
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6200000000        0.7792203302
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6400000000        0.7674357547
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6600000000        0.7555505846
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6800000000        0.7435776196
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7000000000        0.7315382313
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7200000000        0.7194489658
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7400000000        0.7073173760
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7600000000        0.6951611174
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7800000000        0.6829935285
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8000000000        0.6708220824
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8200000000        0.6586628320
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8400000000        0.6465326206
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8600000000        0.6344361849
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8800000000        0.6223799897
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9000000000        0.6103772934
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9200000000        0.5984392207
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9400000000        0.5865772347
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9600000000        0.5747951606
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9800000000        0.5631027473
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        1.0000000000        0.5515006102
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6000000000       -0.0000000000
