                                                    wave       xi      mxi                   q                 mat
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0200000000        0.0003995433
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0400000000        0.0015968446
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0600000000        0.0035879184
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0800000000        0.0063661644
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1000000000        0.0099224331
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1200000000        0.0142450597
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1400000000        0.0193199143
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1600000000        0.0251304980
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1800000000        0.0316580657
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2000000000        0.0388817565
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2200000000        0.0467787146
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2400000000        0.0553242135
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2600000000        0.0644918233
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2800000000        0.0742534685
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3000000000        0.0845798006
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3200000000        0.0954399609
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3400000000        0.1068022112
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3600000000        0.1186338034
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3800000000        0.1309012267
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4000000000        0.1435701545
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4200000000        0.1566065299
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4400000000        0.1699753222
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4600000000        0.1836414243
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4800000000        0.1975700765
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5000000000        0.2117269654
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5200000000        0.2260763198
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5400000000        0.2405844862
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5600000000        0.2552172750
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5800000000        0.2699429682
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6000000000        0.2847282827
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6200000000        0.2995397348
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6400000000        0.3143484708
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6600000000        0.3291247977
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6800000000        0.3438386902
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7000000000        0.3584630829
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7200000000        0.3729702607
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7400000000        0.3873341420
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7600000000        0.4015298858
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7800000000        0.4155362863
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8000000000        0.4293315625
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8200000000        0.4428909723
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8400000000        0.4561953233
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8600000000        0.4692280419
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8800000000        0.4819703746
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9000000000        0.4944064614
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9200000000        0.5065234498
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9400000000        0.5183039975
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9600000000        0.5297312003
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9800000000        0.5407974911
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        1.0000000000        0.5514962358
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.9000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.9200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.9400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.9600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.9800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        1.0000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.0000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.0200000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.0400000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.0600000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.0800000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.1000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.1200000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.1400000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.1600000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.1800000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.2000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.2200000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.2400000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.2600000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.2800000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.3000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.3200000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.3400000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.3600000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.3800000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.4000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.4200000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.4400000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.4600000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.4800000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.5000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.5200000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.5400000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.5600000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.5800000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.6000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.6200000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.6400000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.6600000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.6800000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.7000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.7200000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.7400000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.7600000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.7800000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.8000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.8200000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.8400000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.8600000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.8800000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.9000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.9200000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.9400000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.9600000000        0.0000000000
