                                                    wave       xi      mxi                   q                 mat
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0000000000        2.9962658869
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1000000000        2.9799785955
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2000000000        2.9319552956
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3000000000        2.8545158527
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4000000000        2.7512488549
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5000000000        2.6265635188
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6000000000        2.4852839511
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7000000000        2.3322270833
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8000000000        2.1719331925
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9000000000        2.0084616566
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        1.0000000000        1.8452694123
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.9000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        1.0000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.0000000000        0.0000000000
