                                                    wave       xi      mxi                   q                 mat
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1000000000        0.0297997860
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2000000000        0.1172782118
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3000000000        0.2569064267
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4000000000        0.4401998168
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5000000000        0.6566408797
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6000000000        0.8947022224
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7000000000        1.1427912708
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8000000000        1.3900372432
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9000000000        1.6268539419
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        1.0000000000        1.8452694123
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.9000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        1.0000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.0000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.1000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.2000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.3000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.4000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.5000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.6000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.7000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.8000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.9000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        1.0000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.0000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.1000000000        0.0298222556
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.2000000000        0.1175571689
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.3000000000        0.2581944821
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.4000000000        0.4439686100
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.5000000000        0.6651144594
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.6000000000        0.9107323917
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.7000000000        1.1696207207
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.8000000000        1.4310059193
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.9000000000        1.6851049021
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        1.0000000000        1.9234982485
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.0000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.1000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.2000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.3000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.4000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.5000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.6000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.7000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.8000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.9000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        1.0000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.0000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.1000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.2000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.3000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.4000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.5000000000        0.0000000000
